yz_axis1_nm,yz_axis2_nm,|H/H0|^2
-4.375000000000000000e+00,-1.312500000000000000e+02,2.621833381805454000e+00
-3.281250000000000000e+00,-1.312500000000000000e+02,2.623327155264831401e+00
-2.187500000000000000e+00,-1.312500000000000000e+02,2.624395270178507822e+00
-1.093750000000000000e+00,-1.312500000000000000e+02,2.625036593164901788e+00
0.000000000000000000e+00,-1.312500000000000000e+02,2.625249671798196793e+00
1.093750000000000000e+00,-1.312500000000000000e+02,2.625036593164901788e+00
2.187500000000000000e+00,-1.312500000000000000e+02,2.624395270178507822e+00
3.281250000000000000e+00,-1.312500000000000000e+02,2.623327155264831401e+00
4.375000000000000000e+00,-1.312500000000000000e+02,2.621833381805454000e+00
5.468750000000000000e+00,-1.312500000000000000e+02,2.619915533112638695e+00
6.562500000000000000e+00,-1.312500000000000000e+02,2.617575639020924605e+00
7.656250000000000000e+00,-1.312500000000000000e+02,2.614816171524220412e+00
8.750000000000000000e+00,-1.312500000000000000e+02,2.611640039472745034e+00
9.843750000000000000e+00,-1.312500000000000000e+02,2.608050582347312130e+00
1.093750000000000000e+01,-1.312500000000000000e+02,2.604051563131435820e+00
1.203125000000000000e+01,-1.312500000000000000e+02,2.599647160304701554e+00
1.312500000000000000e+01,-1.312500000000000000e+02,2.594841958983661545e+00
1.421875000000000000e+01,-1.312500000000000000e+02,2.589640941239327532e+00
1.531250000000000000e+01,-1.312500000000000000e+02,2.584049475622907099e+00
1.640625000000000000e+01,-1.312500000000000000e+02,2.578073305933968662e+00
1.750000000000000000e+01,-1.312500000000000000e+02,2.571718539267599191e+00
1.859375000000000000e+01,-1.312500000000000000e+02,2.564991633379356983e+00
1.968750000000000000e+01,-1.312500000000000000e+02,2.557899383408826832e+00
2.078125000000000000e+01,-1.312500000000000000e+02,2.550448908004582460e+00
2.187500000000000000e+01,-1.312500000000000000e+02,2.542647634894998454e+00
2.296875000000000000e+01,-1.312500000000000000e+02,2.534503285950912232e+00
2.406250000000000000e+01,-1.312500000000000000e+02,2.526023861787529690e+00
2.515625000000000000e+01,-1.312500000000000000e+02,2.517217625953995785e+00
2.625000000000000000e+01,-1.312500000000000000e+02,2.508093088760081635e+00
2.734375000000000000e+01,-1.312500000000000000e+02,2.498658990790112888e+00
2.843750000000000000e+01,-1.312500000000000000e+02,2.488924286154746923e+00
2.953125000000000000e+01,-1.312500000000000000e+02,2.478898125531522556e+00
3.062500000000000000e+01,-1.312500000000000000e+02,2.468589839045124190e+00
3.171875000000000000e+01,-1.312500000000000000e+02,2.458008919038184636e+00
3.281250000000000000e+01,-1.312500000000000000e+02,2.447165002783032506e+00
3.390625000000000000e+01,-1.312500000000000000e+02,2.436067855184218978e+00
3.500000000000000000e+01,-1.312500000000000000e+02,2.424727351520817642e+00
3.609375000000000000e+01,-1.312500000000000000e+02,2.413153460276573181e+00
3.718750000000000000e+01,-1.312500000000000000e+02,2.401356226104624181e+00
3.828125000000000000e+01,-1.312500000000000000e+02,2.389345752972260595e+00
3.937500000000000000e+01,-1.312500000000000000e+02,2.377132187529532814e+00
4.046875000000000000e+01,-1.312500000000000000e+02,2.364725702743823099e+00
4.156250000000000000e+01,-1.312500000000000000e+02,2.352136481840552573e+00
4.265625000000000000e+01,-1.312500000000000000e+02,2.339374702588230104e+00
4.375000000000000000e+01,-1.312500000000000000e+02,2.326450521963809415e+00
4.484375000000000000e+01,-1.312500000000000000e+02,2.313374061232101653e+00
4.593750000000000000e+01,-1.312500000000000000e+02,2.300155391470603217e+00
4.703125000000000000e+01,-1.312500000000000000e+02,2.286804519568617966e+00
4.812500000000000000e+01,-1.312500000000000000e+02,2.273331374727088683e+00
4.921875000000000000e+01,-1.312500000000000000e+02,2.259745795482923647e+00
5.031250000000000000e+01,-1.312500000000000000e+02,2.246057517279028470e+00
5.140625000000000000e+01,-1.312500000000000000e+02,2.232276160598661185e+00
5.250000000000000000e+01,-1.312500000000000000e+02,2.218411219680050284e+00
5.359375000000000000e+01,-1.312500000000000000e+02,2.204472051824638790e+00
5.468750000000000000e+01,-1.312500000000000000e+02,2.190467867309735972e+00
5.578125000000000000e+01,-1.312500000000000000e+02,2.176407719913804328e+00
5.687500000000000000e+01,-1.312500000000000000e+02,2.162300498060133691e+00
5.796875000000000000e+01,-1.312500000000000000e+02,2.148154916582204255e+00
5.906250000000000000e+01,-1.312500000000000000e+02,2.133979509111741280e+00
6.015625000000000000e+01,-1.312500000000000000e+02,2.119782621088175834e+00
6.125000000000000000e+01,-1.312500000000000000e+02,2.105572403386037905e+00
6.234375000000000000e+01,-1.312500000000000000e+02,2.091356806554846237e+00
6.343750000000000000e+01,-1.312500000000000000e+02,2.077143575663981778e+00
6.453125000000000000e+01,-1.312500000000000000e+02,2.062940245743323686e+00
6.562500000000000000e+01,-1.312500000000000000e+02,2.048754137808651787e+00
6.671875000000000000e+01,-1.312500000000000000e+02,2.034592355459242441e+00
6.781250000000000000e+01,-1.312500000000000000e+02,2.020461782033686315e+00
6.890625000000000000e+01,-1.312500000000000000e+02,2.006369078308556819e+00
7.000000000000000000e+01,-1.312500000000000000e+02,1.992320680723430160e+00
7.109375000000000000e+01,-1.312500000000000000e+02,1.978322800114669988e+00
7.218750000000000000e+01,-1.312500000000000000e+02,1.964381420939467660e+00
7.328125000000000000e+01,-1.312500000000000000e+02,1.950502300970808678e+00
7.437500000000000000e+01,-1.312500000000000000e+02,1.936690971443384646e+00
7.546875000000000000e+01,-1.312500000000000000e+02,1.922952737629894493e+00
7.656250000000000000e+01,-1.312500000000000000e+02,1.909292679826745776e+00
7.765625000000000000e+01,-1.312500000000000000e+02,1.895715654727827548e+00
7.875000000000000000e+01,-1.312500000000000000e+02,1.882226297164841577e+00
7.984375000000000000e+01,-1.312500000000000000e+02,1.868829022192532108e+00
8.093750000000000000e+01,-1.312500000000000000e+02,1.855528027497124643e+00
8.203125000000000000e+01,-1.312500000000000000e+02,1.842327296106435197e+00
8.312500000000000000e+01,-1.312500000000000000e+02,1.829230599380157418e+00
8.421875000000000000e+01,-1.312500000000000000e+02,1.816241500259174968e+00
8.531250000000000000e+01,-1.312500000000000000e+02,1.803363356752999858e+00
8.640625000000000000e+01,-1.312500000000000000e+02,1.790599325644833151e+00
8.750000000000000000e+01,-1.312500000000000000e+02,1.777952366394194295e+00
8.859375000000000000e+01,-1.312500000000000000e+02,1.765425245217524974e+00
8.968750000000000000e+01,-1.312500000000000000e+02,1.753020539327782235e+00
9.078125000000000000e+01,-1.312500000000000000e+02,1.740740641314511450e+00
9.187500000000000000e+01,-1.312500000000000000e+02,1.728587763646645126e+00
9.296875000000000000e+01,-1.312500000000000000e+02,1.716563943280791094e+00
9.406250000000000000e+01,-1.312500000000000000e+02,1.704671046358567699e+00
9.515625000000000000e+01,-1.312500000000000000e+02,1.692910772977143097e+00
9.625000000000000000e+01,-1.312500000000000000e+02,1.681284662017928699e+00
9.734375000000000000e+01,-1.312500000000000000e+02,1.669794096019044938e+00
9.843750000000000000e+01,-1.312500000000000000e+02,1.658440306077945126e+00
9.953125000000000000e+01,-1.312500000000000000e+02,1.647224376771297516e+00
1.006250000000000000e+02,-1.312500000000000000e+02,1.636147251079977494e+00
1.017187500000000000e+02,-1.312500000000000000e+02,1.625209735307727721e+00
1.028125000000000000e+02,-1.312500000000000000e+02,1.614412503982804781e+00
1.039062500000000000e+02,-1.312500000000000000e+02,1.603756104732601662e+00
1.050000000000000000e+02,-1.312500000000000000e+02,1.593240963121975051e+00
1.060937500000000000e+02,-1.312500000000000000e+02,1.582867387446668328e+00
1.071875000000000000e+02,-1.312500000000000000e+02,1.572635573473908366e+00
1.082812500000000000e+02,-1.312500000000000000e+02,1.562545609122887535e+00
1.093750000000000000e+02,-1.312500000000000000e+02,1.552597479078508647e+00
1.104687500000000000e+02,-1.312500000000000000e+02,1.542791069332319243e+00
1.115625000000000000e+02,-1.312500000000000000e+02,1.533126171645254665e+00
1.126562500000000000e+02,-1.312500000000000000e+02,1.523602487927242954e+00
1.137500000000000000e+02,-1.312500000000000000e+02,1.514219634529400338e+00
1.148437500000000000e+02,-1.312500000000000000e+02,1.504977146444959946e+00
1.159375000000000000e+02,-1.312500000000000000e+02,1.495874481415648383e+00
1.170312500000000000e+02,-1.312500000000000000e+02,1.486911023940628906e+00
1.181250000000000000e+02,-1.312500000000000000e+02,1.478086089185643326e+00
1.192187500000000000e+02,-1.312500000000000000e+02,1.469398926790346005e+00
1.203125000000000000e+02,-1.312500000000000000e+02,1.460848724572263890e+00
1.214062500000000000e+02,-1.312500000000000000e+02,1.452434612126158875e+00
1.225000000000000000e+02,-1.312500000000000000e+02,1.444155664317949173e+00
1.235937500000000000e+02,-1.312500000000000000e+02,1.436010904672651023e+00
1.246875000000000000e+02,-1.312500000000000000e+02,1.427999308656106914e+00
1.257812500000000000e+02,-1.312500000000000000e+02,1.420119806850561606e+00
1.268750000000000000e+02,-1.312500000000000000e+02,1.412371288024423022e+00
1.279687500000000000e+02,-1.312500000000000000e+02,1.404752602096723368e+00
1.290625000000000000e+02,-1.312500000000000000e+02,1.397262562997106272e+00
1.301562500000000000e+02,-1.312500000000000000e+02,1.389899951422296276e+00
1.312500000000000000e+02,-1.312500000000000000e+02,1.382663517490230864e+00
-1.312500000000000000e+02,-1.301562500000000000e+02,1.388273220719072221e+00
-1.301562500000000000e+02,-1.301562500000000000e+02,1.395627887184881732e+00
-1.290625000000000000e+02,-1.301562500000000000e+02,1.403112363563351117e+00
-1.279687500000000000e+02,-1.301562500000000000e+02,1.410727988202351568e+00
-1.268750000000000000e+02,-1.301562500000000000e+02,1.418476069698695108e+00
-1.257812500000000000e+02,-1.301562500000000000e+02,1.426357884168443890e+00
-1.246875000000000000e+02,-1.301562500000000000e+02,1.434374672408520901e+00
-1.235937500000000000e+02,-1.301562500000000000e+02,1.442527636948205849e+00
-1.225000000000000000e+02,-1.301562500000000000e+02,1.450817938989276801e+00
-1.214062500000000000e+02,-1.301562500000000000e+02,1.459246695233741065e+00
-1.203125000000000000e+02,-1.301562500000000000e+02,1.467814974598367073e+00
-1.192187500000000000e+02,-1.301562500000000000e+02,1.476523794815420842e+00
-1.181250000000000000e+02,-1.301562500000000000e+02,1.485374118919337683e+00
-1.170312500000000000e+02,-1.301562500000000000e+02,1.494366851619275405e+00
-1.159375000000000000e+02,-1.301562500000000000e+02,1.503502835557887440e+00
-1.148437500000000000e+02,-1.301562500000000000e+02,1.512782847456940027e+00
-1.137500000000000000e+02,-1.301562500000000000e+02,1.522207594150754906e+00
-1.126562500000000000e+02,-1.301562500000000000e+02,1.531777708508895719e+00
-1.115625000000000000e+02,-1.301562500000000000e+02,1.541493745249883585e+00
-1.104687500000000000e+02,-1.301562500000000000e+02,1.551356176648162721e+00
-1.093750000000000000e+02,-1.301562500000000000e+02,1.561365388137064159e+00
-1.082812500000000000e+02,-1.301562500000000000e+02,1.571521673810928776e+00
-1.071875000000000000e+02,-1.301562500000000000e+02,1.581825231830114253e+00
-1.060937500000000000e+02,-1.301562500000000000e+02,1.592276159733178487e+00
-1.050000000000000000e+02,-1.301562500000000000e+02,1.602874449661037204e+00
-1.039062500000000000e+02,-1.301562500000000000e+02,1.613619983498573607e+00
-1.028125000000000000e+02,-1.301562500000000000e+02,1.624512527939727669e+00
-1.017187500000000000e+02,-1.301562500000000000e+02,1.635551729482813021e+00
-1.006250000000000000e+02,-1.301562500000000000e+02,1.646737109363425544e+00
-9.953125000000000000e+01,-1.301562500000000000e+02,1.658068058433033176e+00
-9.843750000000000000e+01,-1.301562500000000000e+02,1.669543831992065019e+00
-9.734375000000000000e+01,-1.301562500000000000e+02,1.681163544587020997e+00
-9.625000000000000000e+01,-1.301562500000000000e+02,1.692926164781903609e+00
-9.515625000000000000e+01,-1.301562500000000000e+02,1.704830509915044257e+00
-9.406250000000000000e+01,-1.301562500000000000e+02,1.716875240853169338e+00
-9.296875000000000000e+01,-1.301562500000000000e+02,1.729058856755336437e+00
-9.187500000000000000e+01,-1.301562500000000000e+02,1.741379689860186097e+00
-9.078125000000000000e+01,-1.301562500000000000e+02,1.753835900310768192e+00
-8.968750000000000000e+01,-1.301562500000000000e+02,1.766425471031950245e+00
-8.859375000000000000e+01,-1.301562500000000000e+02,1.779146202676262334e+00
-8.750000000000000000e+01,-1.301562500000000000e+02,1.791995708654818387e+00
-8.640625000000000000e+01,-1.301562500000000000e+02,1.804971410270676868e+00
-8.531250000000000000e+01,-1.301562500000000000e+02,1.818070531972802106e+00
-8.421875000000000000e+01,-1.301562500000000000e+02,1.831290096749516039e+00
-8.312500000000000000e+01,-1.301562500000000000e+02,1.844626921680977860e+00
-8.203125000000000000e+01,-1.301562500000000000e+02,1.858077613670947370e+00
-8.093750000000000000e+01,-1.301562500000000000e+02,1.871638565378664243e+00
-7.984375000000000000e+01,-1.301562500000000000e+02,1.885305951372266753e+00
-7.875000000000000000e+01,-1.301562500000000000e+02,1.899075724525651543e+00
-7.765625000000000000e+01,-1.301562500000000000e+02,1.912943612681177852e+00
-7.656250000000000000e+01,-1.301562500000000000e+02,1.926905115600930696e+00
-7.546875000000000000e+01,-1.301562500000000000e+02,1.940955502229625429e+00
-7.437500000000000000e+01,-1.301562500000000000e+02,1.955089808292396203e+00
-7.328125000000000000e+01,-1.301562500000000000e+02,1.969302834250871381e+00
-7.218750000000000000e+01,-1.301562500000000000e+02,1.983589143640976715e+00
-7.109375000000000000e+01,-1.301562500000000000e+02,1.997943061815779631e+00
-7.000000000000000000e+01,-1.301562500000000000e+02,2.012358675116582507e+00
-6.890625000000000000e+01,-1.301562500000000000e+02,2.026829830495088913e+00
-6.781250000000000000e+01,-1.301562500000000000e+02,2.041350135609119487e+00
-6.671875000000000000e+01,-1.301562500000000000e+02,2.055912959413737529e+00
-6.562500000000000000e+01,-1.301562500000000000e+02,2.070511433269005774e+00
-6.453125000000000000e+01,-1.301562500000000000e+02,2.085138452584774260e+00
-6.343750000000000000e+01,-1.301562500000000000e+02,2.099786679021916402e+00
-6.234375000000000000e+01,-1.301562500000000000e+02,2.114448543268355962e+00
-6.125000000000000000e+01,-1.301562500000000000e+02,2.129116248406978329e+00
-6.015625000000000000e+01,-1.301562500000000000e+02,2.143781773891151321e+00
-5.906250000000000000e+01,-1.301562500000000000e+02,2.158436880142009962e+00
-5.796875000000000000e+01,-1.301562500000000000e+02,2.173073113780051191e+00
-5.687500000000000000e+01,-1.301562500000000000e+02,2.187681813501711314e+00
-5.578125000000000000e+01,-1.301562500000000000e+02,2.202254116609723145e+00
-5.468750000000000000e+01,-1.301562500000000000e+02,2.216780966203909298e+00
-5.359375000000000000e+01,-1.301562500000000000e+02,2.231253119036915589e+00
-5.250000000000000000e+01,-1.301562500000000000e+02,2.245661154037052576e+00
-5.140625000000000000e+01,-1.301562500000000000e+02,2.259995481497996117e+00
-5.031250000000000000e+01,-1.301562500000000000e+02,2.274246352932547399e+00
-4.921875000000000000e+01,-1.301562500000000000e+02,2.288403871585127369e+00
-4.812500000000000000e+01,-1.301562500000000000e+02,2.302458003594835656e+00
-4.703125000000000000e+01,-1.301562500000000000e+02,2.316398589798341678e+00
-4.593750000000000000e+01,-1.301562500000000000e+02,2.330215358158933547e+00
-4.484375000000000000e+01,-1.301562500000000000e+02,2.343897936805276139e+00
-4.375000000000000000e+01,-1.301562500000000000e+02,2.357435867660587991e+00
-4.265625000000000000e+01,-1.301562500000000000e+02,2.370818620640098739e+00
-4.156250000000000000e+01,-1.301562500000000000e+02,2.384035608391728900e+00
-4.046875000000000000e+01,-1.301562500000000000e+02,2.397076201552287955e+00
-3.937500000000000000e+01,-1.301562500000000000e+02,2.409929744488604531e+00
-3.828125000000000000e+01,-1.301562500000000000e+02,2.422585571490349032e+00
-3.718750000000000000e+01,-1.301562500000000000e+02,2.435033023378762262e+00
-3.609375000000000000e+01,-1.301562500000000000e+02,2.447261464492975769e+00
-3.500000000000000000e+01,-1.301562500000000000e+02,2.459260300013191181e+00
-3.390625000000000000e+01,-1.301562500000000000e+02,2.471018993577855927e+00
-3.281250000000000000e+01,-1.301562500000000000e+02,2.482527085149802026e+00
-3.171875000000000000e+01,-1.301562500000000000e+02,2.493774209084424598e+00
-3.062500000000000000e+01,-1.301562500000000000e+02,2.504750112351260771e+00
-2.953125000000000000e+01,-1.301562500000000000e+02,2.515444672858754060e+00
-2.843750000000000000e+01,-1.301562500000000000e+02,2.525847917830700951e+00
-2.734375000000000000e+01,-1.301562500000000000e+02,2.535950042181691622e+00
-2.625000000000000000e+01,-1.301562500000000000e+02,2.545741426838000088e+00
-2.515625000000000000e+01,-1.301562500000000000e+02,2.555212656949724881e+00
-2.406250000000000000e+01,-1.301562500000000000e+02,2.564354539939488919e+00
-2.296875000000000000e+01,-1.301562500000000000e+02,2.573158123332845992e+00
-2.187500000000000000e+01,-1.301562500000000000e+02,2.581614712315600357e+00
-2.078125000000000000e+01,-1.301562500000000000e+02,2.589715886963487090e+00
-1.968750000000000000e+01,-1.301562500000000000e+02,2.597453519090202612e+00
