xz_axis1_nm,xz_axis2_nm,|E/E0|^2
-7.382812500000000000e+01,-1.312500000000000000e+02,9.506319540525979273e-01
-7.218750000000000000e+01,-1.312500000000000000e+02,9.522157501337572549e-01
-7.054687500000000000e+01,-1.312500000000000000e+02,9.536568437177814772e-01
-6.890625000000000000e+01,-1.312500000000000000e+02,9.549506457479545185e-01
-6.726562500000000000e+01,-1.312500000000000000e+02,9.560930728329807282e-01
-6.562500000000000000e+01,-1.312500000000000000e+02,9.570805993445145043e-01
-6.398437500000000000e+01,-1.312500000000000000e+02,9.579103088539772104e-01
-6.234375000000000000e+01,-1.312500000000000000e+02,9.585799443293905320e-01
-6.070312500000000000e+01,-1.312500000000000000e+02,9.590879564715402150e-01
-5.906250000000000000e+01,-1.312500000000000000e+02,9.594335495324703977e-01
-5.742187500000000000e+01,-1.312500000000000000e+02,9.596167239291280016e-01
-5.578125000000000000e+01,-1.312500000000000000e+02,9.596383149424024817e-01
-5.414062500000000000e+01,-1.312500000000000000e+02,9.595000267780174896e-01
-5.250000000000000000e+01,-1.312500000000000000e+02,9.592044612619713417e-01
-5.085937500000000000e+01,-1.312500000000000000e+02,9.587551404507047570e-01
-4.921875000000000000e+01,-1.312500000000000000e+02,9.581565224559109861e-01
-4.757812500000000000e+01,-1.312500000000000000e+02,9.574140098168417712e-01
-4.593750000000000000e+01,-1.312500000000000000e+02,9.565339497997554785e-01
-4.429687500000000000e+01,-1.312500000000000000e+02,9.555236260653647840e-01
-4.265625000000000000e+01,-1.312500000000000000e+02,9.543912412208200857e-01
-4.101562500000000000e+01,-1.312500000000000000e+02,9.531458898630276177e-01
-3.937500000000000000e+01,-1.312500000000000000e+02,9.517975218241887525e-01
-3.773437500000000000e+01,-1.312500000000000000e+02,9.503568954478447406e-01
-3.609375000000000000e+01,-1.312500000000000000e+02,9.488355208529767326e-01
-3.445312500000000000e+01,-1.312500000000000000e+02,9.472455932833772074e-01
-3.281250000000000000e+01,-1.312500000000000000e+02,9.455999167875445144e-01
-3.117187500000000000e+01,-1.312500000000000000e+02,9.439118186284632950e-01
-2.953125000000000000e+01,-1.312500000000000000e+02,9.421950549800779395e-01
-2.789062500000000000e+01,-1.312500000000000000e+02,9.404637086251746991e-01
-2.625000000000000000e+01,-1.312500000000000000e+02,9.387320795244951110e-01
-2.460937500000000000e+01,-1.312500000000000000e+02,9.370145692758807821e-01
-2.296875000000000000e+01,-1.312500000000000000e+02,9.353255606217186768e-01
-2.132812500000000000e+01,-1.312500000000000000e+02,9.336792932893722696e-01
-1.968750000000000000e+01,-1.312500000000000000e+02,9.320897375594821010e-01
-1.804687500000000000e+01,-1.312500000000000000e+02,9.305704670477268348e-01
-1.640625000000000000e+01,-1.312500000000000000e+02,9.291345322541259000e-01
-1.476562500000000000e+01,-1.312500000000000000e+02,9.277943364777722079e-01
-1.312500000000000000e+01,-1.312500000000000000e+02,9.265615157120337120e-01
-1.148437500000000000e+01,-1.312500000000000000e+02,9.254468241243958282e-01
-9.843750000000000000e+00,-1.312500000000000000e+02,9.244600266854166026e-01
-8.203125000000000000e+00,-1.312500000000000000e+02,9.236098004426502861e-01
-6.562500000000000000e+00,-1.312500000000000000e+02,9.229036458384020092e-01
-4.921875000000000000e+00,-1.312500000000000000e+02,9.223478093461482397e-01
-3.281250000000000000e+00,-1.312500000000000000e+02,9.219472185512752604e-01
-1.640625000000000000e+00,-1.312500000000000000e+02,9.217054306301459832e-01
0.000000000000000000e+00,-1.312500000000000000e+02,9.216253236130299564e-01
1.640625000000000000e+00,-1.312500000000000000e+02,9.217054306301459832e-01
3.281250000000000000e+00,-1.312500000000000000e+02,9.219472185512752604e-01
4.921875000000000000e+00,-1.312500000000000000e+02,9.223478093461482397e-01
6.562500000000000000e+00,-1.312500000000000000e+02,9.229036458384020092e-01
8.203125000000000000e+00,-1.312500000000000000e+02,9.236098004426502861e-01
9.843750000000000000e+00,-1.312500000000000000e+02,9.244600266854166026e-01
1.148437500000000000e+01,-1.312500000000000000e+02,9.254468241243958282e-01
1.312500000000000000e+01,-1.312500000000000000e+02,9.265615157120337120e-01
1.476562500000000000e+01,-1.312500000000000000e+02,9.277943364777722079e-01
1.640625000000000000e+01,-1.312500000000000000e+02,9.291345322541259000e-01
1.804687500000000000e+01,-1.312500000000000000e+02,9.305704670477268348e-01
1.968750000000000000e+01,-1.312500000000000000e+02,9.320897375594821010e-01
2.132812500000000000e+01,-1.312500000000000000e+02,9.336792932893722696e-01
2.296875000000000000e+01,-1.312500000000000000e+02,9.353255606217186768e-01
2.460937500000000000e+01,-1.312500000000000000e+02,9.370145692758807821e-01
2.625000000000000000e+01,-1.312500000000000000e+02,9.387320795244951110e-01
2.789062500000000000e+01,-1.312500000000000000e+02,9.404637086251746991e-01
2.953125000000000000e+01,-1.312500000000000000e+02,9.421950549800779395e-01
3.117187500000000000e+01,-1.312500000000000000e+02,9.439118186284632950e-01
3.281250000000000000e+01,-1.312500000000000000e+02,9.455999167875445144e-01
3.445312500000000000e+01,-1.312500000000000000e+02,9.472455932833772074e-01
3.609375000000000000e+01,-1.312500000000000000e+02,9.488355208529767326e-01
3.773437500000000000e+01,-1.312500000000000000e+02,9.503568954478447406e-01
3.937500000000000000e+01,-1.312500000000000000e+02,9.517975218241887525e-01
4.101562500000000000e+01,-1.312500000000000000e+02,9.531458898630276177e-01
4.265625000000000000e+01,-1.312500000000000000e+02,9.543912412208200857e-01
4.429687500000000000e+01,-1.312500000000000000e+02,9.555236260653647840e-01
4.593750000000000000e+01,-1.312500000000000000e+02,9.565339497997554785e-01
4.757812500000000000e+01,-1.312500000000000000e+02,9.574140098168417712e-01
4.921875000000000000e+01,-1.312500000000000000e+02,9.581565224559109861e-01
5.085937500000000000e+01,-1.312500000000000000e+02,9.587551404507047570e-01
5.250000000000000000e+01,-1.312500000000000000e+02,9.592044612619713417e-01
5.414062500000000000e+01,-1.312500000000000000e+02,9.595000267780174896e-01
5.578125000000000000e+01,-1.312500000000000000e+02,9.596383149424024817e-01
5.742187500000000000e+01,-1.312500000000000000e+02,9.596167239291280016e-01
5.906250000000000000e+01,-1.312500000000000000e+02,9.594335495324703977e-01
6.070312500000000000e+01,-1.312500000000000000e+02,9.590879564715402150e-01
6.234375000000000000e+01,-1.312500000000000000e+02,9.585799443293905320e-01
6.398437500000000000e+01,-1.312500000000000000e+02,9.579103088539772104e-01
6.562500000000000000e+01,-1.312500000000000000e+02,9.570805993445145043e-01
6.726562500000000000e+01,-1.312500000000000000e+02,9.560930728329807282e-01
6.890625000000000000e+01,-1.312500000000000000e+02,9.549506457479545185e-01
7.054687500000000000e+01,-1.312500000000000000e+02,9.536568437177814772e-01
7.218750000000000000e+01,-1.312500000000000000e+02,9.522157501337572549e-01
7.382812500000000000e+01,-1.312500000000000000e+02,9.506319540525979273e-01
7.546875000000000000e+01,-1.312500000000000000e+02,9.489104979723550493e-01
7.710937500000000000e+01,-1.312500000000000000e+02,9.470568259680999246e-01
7.875000000000000000e+01,-1.312500000000000000e+02,9.450767326243354471e-01
8.039062500000000000e+01,-1.312500000000000000e+02,9.429763131510253693e-01
8.203125000000000000e+01,-1.312500000000000000e+02,9.407619150203118119e-01
8.367187500000000000e+01,-1.312500000000000000e+02,9.384400914120978321e-01
8.531250000000000000e+01,-1.312500000000000000e+02,9.360175567093574900e-01
8.695312500000000000e+01,-1.312500000000000000e+02,9.335011442388293501e-01
8.859375000000000000e+01,-1.312500000000000000e+02,9.308977664100853699e-01
9.023437500000000000e+01,-1.312500000000000000e+02,9.282143773660805897e-01
9.187500000000000000e+01,-1.312500000000000000e+02,9.254579382215929462e-01
9.351562500000000000e+01,-1.312500000000000000e+02,9.226353849323866152e-01
9.515625000000000000e+01,-1.312500000000000000e+02,9.197535988077301106e-01
9.679687500000000000e+01,-1.312500000000000000e+02,9.168193796519920058e-01
9.843750000000000000e+01,-1.312500000000000000e+02,9.138394214973944996e-01
1.000781250000000000e+02,-1.312500000000000000e+02,9.108202908695746114e-01
1.017187500000000000e+02,-1.312500000000000000e+02,9.077684075101852823e-01
1.033593750000000000e+02,-1.312500000000000000e+02,9.046900274662916797e-01
1.050000000000000000e+02,-1.312500000000000000e+02,9.015912284445133373e-01
1.066406250000000000e+02,-1.312500000000000000e+02,8.984778973186063888e-01
1.082812500000000000e+02,-1.312500000000000000e+02,8.953557196722123912e-01
1.099218750000000000e+02,-1.312500000000000000e+02,8.922301712536352403e-01
1.115625000000000000e+02,-1.312500000000000000e+02,8.891065112165157380e-01
1.132031250000000000e+02,-1.312500000000000000e+02,8.859897770189593125e-01
1.148437500000000000e+02,-1.312500000000000000e+02,8.828847808538159425e-01
1.164843750000000000e+02,-1.312500000000000000e+02,8.797961074842183260e-01
1.181250000000000000e+02,-1.312500000000000000e+02,8.767281133609807764e-01
1.197656250000000000e+02,-1.312500000000000000e+02,8.736849269018706066e-01
1.214062500000000000e+02,-1.312500000000000000e+02,8.706704498168865713e-01
1.230468750000000000e+02,-1.312500000000000000e+02,8.676883593684510121e-01
1.246875000000000000e+02,-1.312500000000000000e+02,8.647421114606103076e-01
1.263281250000000000e+02,-1.312500000000000000e+02,8.618349444568855766e-01
1.279687500000000000e+02,-1.312500000000000000e+02,8.589698836322229303e-01
1.296093750000000000e+02,-1.312500000000000000e+02,8.561497461703850842e-01
1.312500000000000000e+02,-1.312500000000000000e+02,8.533771466241337755e-01
-1.312500000000000000e+02,-1.296093750000000000e+02,8.565874854929964588e-01
-1.296093750000000000e+02,-1.296093750000000000e+02,8.594910811117119076e-01
-1.279687500000000000e+02,-1.296093750000000000e+02,8.624430933660323095e-01
-1.263281250000000000e+02,-1.296093750000000000e+02,8.654407560026400326e-01
-1.246875000000000000e+02,-1.296093750000000000e+02,8.684810854190465612e-01
-1.230468750000000000e+02,-1.296093750000000000e+02,8.715608744332912217e-01
-1.214062500000000000e+02,-1.296093750000000000e+02,8.746766865218847942e-01
-1.197656250000000000e+02,-1.296093750000000000e+02,8.778248506156191011e-01
-1.181250000000000000e+02,-1.296093750000000000e+02,8.810014565497981121e-01
-1.164843750000000000e+02,-1.296093750000000000e+02,8.842023512723184986e-01
-1.148437500000000000e+02,-1.296093750000000000e+02,8.874231359198290203e-01
-1.132031250000000000e+02,-1.296093750000000000e+02,8.906591638788211585e-01
-1.115625000000000000e+02,-1.296093750000000000e+02,8.939055399547768399e-01
-1.099218750000000000e+02,-1.296093750000000000e+02,8.971571207783705093e-01
-1.082812500000000000e+02,-1.296093750000000000e+02,9.004085165829734949e-01
-1.066406250000000000e+02,-1.296093750000000000e+02,9.036540944922241136e-01
-1.050000000000000000e+02,-1.296093750000000000e+02,9.068879834599952172e-01
-1.033593750000000000e+02,-1.296093750000000000e+02,9.101040810075271548e-01
-1.017187500000000000e+02,-1.296093750000000000e+02,9.132960619035931371e-01
-1.000781250000000000e+02,-1.296093750000000000e+02,9.164573889330990264e-01
-9.843750000000000000e+01,-1.296093750000000000e+02,9.195813258972194149e-01
-9.679687500000000000e+01,-1.296093750000000000e+02,9.226609529838605273e-01
-9.515625000000000000e+01,-1.296093750000000000e+02,9.256891846405951307e-01
-9.351562500000000000e+01,-1.296093750000000000e+02,9.286587900730061129e-01
-9.187500000000000000e+01,-1.296093750000000000e+02,9.315624164793836481e-01
-9.023437500000000000e+01,-1.296093750000000000e+02,9.343926151176321637e-01
-8.859375000000000000e+01,-1.296093750000000000e+02,9.371418702819094282e-01
-8.695312500000000000e+01,-1.296093750000000000e+02,9.398026312446571273e-01
-8.531250000000000000e+01,-1.296093750000000000e+02,9.423673471941859114e-01
-8.367187500000000000e+01,-1.296093750000000000e+02,9.448285051686637903e-01
-8.203125000000000000e+01,-1.296093750000000000e+02,9.471786709541500926e-01
-8.039062500000000000e+01,-1.296093750000000000e+02,9.494105328772266539e-01
-7.875000000000000000e+01,-1.296093750000000000e+02,9.515169483818152196e-01
-7.710937500000000000e+01,-1.296093750000000000e+02,9.534909932350563722e-01
-7.546875000000000000e+01,-1.296093750000000000e+02,9.553260131589614845e-01
-7.382812500000000000e+01,-1.296093750000000000e+02,9.570156776331599779e-01
-7.218750000000000000e+01,-1.296093750000000000e+02,9.585540355599793116e-01
-7.054687500000000000e+01,-1.296093750000000000e+02,9.599355724268181511e-01
-6.890625000000000000e+01,-1.296093750000000000e+02,9.611552685430655441e-01
-6.726562500000000000e+01,-1.296093750000000000e+02,9.622086578704048820e-01
-6.562500000000000000e+01,-1.296093750000000000e+02,9.630918869072865318e-01
-6.398437500000000000e+01,-1.296093750000000000e+02,9.638017730316664755e-01
-6.234375000000000000e+01,-1.296093750000000000e+02,9.643358616520100179e-01
-6.070312500000000000e+01,-1.296093750000000000e+02,9.646924814663945247e-01
-5.906250000000000000e+01,-1.296093750000000000e+02,9.648707970846885917e-01
-5.742187500000000000e+01,-1.296093750000000000e+02,9.648708582307188308e-01
-5.578125000000000000e+01,-1.296093750000000000e+02,9.646936447116208901e-01
-5.414062500000000000e+01,-1.296093750000000000e+02,9.643411063216539292e-01
-5.250000000000000000e+01,-1.296093750000000000e+02,9.638161968392606749e-01
-5.085937500000000000e+01,-1.296093750000000000e+02,9.631229012803973477e-01
-4.921875000000000000e+01,-1.296093750000000000e+02,9.622662555895004077e-01
-4.757812500000000000e+01,-1.296093750000000000e+02,9.612523579830974940e-01
-4.593750000000000000e+01,-1.296093750000000000e+02,9.600883712108292389e-01
-4.429687500000000000e+01,-1.296093750000000000e+02,9.587825150652651285e-01
-4.265625000000000000e+01,-1.296093750000000000e+02,9.573440485557301871e-01
-4.101562500000000000e+01,-1.296093750000000000e+02,9.557832412622863094e-01
-3.937500000000000000e+01,-1.296093750000000000e+02,9.541113335036974785e-01
-3.773437500000000000e+01,-1.296093750000000000e+02,9.523404850867986937e-01
-3.609375000000000000e+01,-1.296093750000000000e+02,9.504837125527472175e-01
-3.445312500000000000e+01,-1.296093750000000000e+02,9.485548149965216114e-01
-3.281250000000000000e+01,-1.296093750000000000e+02,9.465682887074020613e-01
-3.117187500000000000e+01,-1.296093750000000000e+02,9.445392310573363925e-01
-2.953125000000000000e+01,-1.296093750000000000e+02,9.424832342480030656e-01
-2.789062500000000000e+01,-1.296093750000000000e+02,9.404162697124847092e-01
-2.625000000000000000e+01,-1.296093750000000000e+02,9.383545641500826706e-01
-2.460937500000000000e+01,-1.296093750000000000e+02,9.363144683489026399e-01
-2.296875000000000000e+01,-1.296093750000000000e+02,9.343123201163604508e-01
-2.132812500000000000e+01,-1.296093750000000000e+02,9.323643027885999413e-01
-1.968750000000000000e+01,-1.296093750000000000e+02,9.304863009219599412e-01
-1.804687500000000000e+01,-1.296093750000000000e+02,9.286937548793349206e-01
-1.640625000000000000e+01,-1.296093750000000000e+02,9.270015161080791266e-01
-1.476562500000000000e+01,-1.296093750000000000e+02,9.254237049610671839e-01
-1.312500000000000000e+01,-1.296093750000000000e+02,9.239735729361773231e-01
-1.148437500000000000e+01,-1.296093750000000000e+02,9.226633712001385268e-01
-9.843750000000000000e+00,-1.296093750000000000e+02,9.215042272192793815e-01
-8.203125000000000000e+00,-1.296093750000000000e+02,9.205060312421053936e-01
-6.562500000000000000e+00,-1.296093750000000000e+02,9.196773342673506546e-01
-4.921875000000000000e+00,-1.296093750000000000e+02,9.190252589877596634e-01
-3.281250000000000000e+00,-1.296093750000000000e+02,9.185554250265304255e-01
-1.640625000000000000e+00,-1.296093750000000000e+02,9.182718895833120731e-01
0.000000000000000000e+00,-1.296093750000000000e+02,9.181778587385874824e-01
1.640625000000000000e+00,-1.296093750000000000e+02,9.182718895833120731e-01
3.281250000000000000e+00,-1.296093750000000000e+02,9.185554250265304255e-01
4.921875000000000000e+00,-1.296093750000000000e+02,9.190252589877596634e-01
6.562500000000000000e+00,-1.296093750000000000e+02,9.196773342673506546e-01
8.203125000000000000e+00,-1.296093750000000000e+02,9.205060312421053936e-01
9.843750000000000000e+00,-1.296093750000000000e+02,9.215042272192793815e-01
1.148437500000000000e+01,-1.296093750000000000e+02,9.226633712001385268e-01
1.312500000000000000e+01,-1.296093750000000000e+02,9.239735729361773231e-01
1.476562500000000000e+01,-1.296093750000000000e+02,9.254237049610671839e-01
1.640625000000000000e+01,-1.296093750000000000e+02,9.270015161080791266e-01
1.804687500000000000e+01,-1.296093750000000000e+02,9.286937548793349206e-01
1.968750000000000000e+01,-1.296093750000000000e+02,9.304863009219599412e-01
2.132812500000000000e+01,-1.296093750000000000e+02,9.323643027885999413e-01
2.296875000000000000e+01,-1.296093750000000000e+02,9.343123201163604508e-01
2.460937500000000000e+01,-1.296093750000000000e+02,9.363144683489026399e-01
2.625000000000000000e+01,-1.296093750000000000e+02,9.383545641500826706e-01
2.789062500000000000e+01,-1.296093750000000000e+02,9.404162697124847092e-01
2.953125000000000000e+01,-1.296093750000000000e+02,9.424832342480030656e-01
3.117187500000000000e+01,-1.296093750000000000e+02,9.445392310573363925e-01
3.281250000000000000e+01,-1.296093750000000000e+02,9.465682887074020613e-01
3.445312500000000000e+01,-1.296093750000000000e+02,9.485548149965216114e-01
3.609375000000000000e+01,-1.296093750000000000e+02,9.504837125527472175e-01
3.773437500000000000e+01,-1.296093750000000000e+02,9.523404850867986937e-01
3.937500000000000000e+01,-1.296093750000000000e+02,9.541113335036974785e-01
4.101562500000000000e+01,-1.296093750000000000e+02,9.557832412622863094e-01
4.265625000000000000e+01,-1.296093750000000000e+02,9.573440485557301871e-01
4.429687500000000000e+01,-1.296093750000000000e+02,9.587825150652651285e-01
4.593750000000000000e+01,-1.296093750000000000e+02,9.600883712108292389e-01
4.757812500000000000e+01,-1.296093750000000000e+02,9.612523579830974940e-01
4.921875000000000000e+01,-1.296093750000000000e+02,9.622662555895004077e-01
5.085937500000000000e+01,-1.296093750000000000e+02,9.631229012803973477e-01
5.250000000000000000e+01,-1.296093750000000000e+02,9.638161968392606749e-01
5.414062500000000000e+01,-1.296093750000000000e+02,9.643411063216539292e-01
5.578125000000000000e+01,-1.296093750000000000e+02,9.646936447116208901e-01
5.742187500000000000e+01,-1.296093750000000000e+02,9.648708582307188308e-01
5.906250000000000000e+01,-1.296093750000000000e+02,9.648707970846885917e-01
6.070312500000000000e+01,-1.296093750000000000e+02,9.646924814663945247e-01
6.234375000000000000e+01,-1.296093750000000000e+02,9.643358616520100179e-01
6.398437500000000000e+01,-1.296093750000000000e+02,9.638017730316664755e-01
6.562500000000000000e+01,-1.296093750000000000e+02,9.630918869072865318e-01
6.726562500000000000e+01,-1.296093750000000000e+02,9.622086578704048820e-01
6.890625000000000000e+01,-1.296093750000000000e+02,9.611552685430655441e-01
7.054687500000000000e+01,-1.296093750000000000e+02,9.599355724268181511e-01
7.218750000000000000e+01,-1.296093750000000000e+02,9.585540355599793116e-01
7.382812500000000000e+01,-1.296093750000000000e+02,9.570156776331599779e-01
7.546875000000000000e+01,-1.296093750000000000e+02,9.553260131589614845e-01
7.710937500000000000e+01,-1.296093750000000000e+02,9.534909932350563722e-01
7.875000000000000000e+01,-1.296093750000000000e+02,9.515169483818152196e-01
8.039062500000000000e+01,-1.296093750000000000e+02,9.494105328772266539e-01
8.203125000000000000e+01,-1.296093750000000000e+02,9.471786709541500926e-01
8.367187500000000000e+01,-1.296093750000000000e+02,9.448285051686637903e-01
8.531250000000000000e+01,-1.296093750000000000e+02,9.423673471941859114e-01
8.695312500000000000e+01,-1.296093750000000000e+02,9.398026312446571273e-01
8.859375000000000000e+01,-1.296093750000000000e+02,9.371418702819094282e-01
9.023437500000000000e+01,-1.296093750000000000e+02,9.343926151176321637e-01
9.187500000000000000e+01,-1.296093750000000000e+02,9.315624164793836481e-01
9.351562500000000000e+01,-1.296093750000000000e+02,9.286587900730061129e-01
9.515625000000000000e+01,-1.296093750000000000e+02,9.256891846405951307e-01
9.679687500000000000e+01,-1.296093750000000000e+02,9.226609529838605273e-01
9.843750000000000000e+01,-1.296093750000000000e+02,9.195813258972194149e-01
1.000781250000000000e+02,-1.296093750000000000e+02,9.164573889330990264e-01
1.017187500000000000e+02,-1.296093750000000000e+02,9.132960619035931371e-01
1.033593750000000000e+02,-1.296093750000000000e+02,9.101040810075271548e-01
1.050000000000000000e+02,-1.296093750000000000e+02,9.068879834599952172e-01
1.066406250000000000e+02,-1.296093750000000000e+02,9.036540944922241136e-01
1.082812500000000000e+02,-1.296093750000000000e+02,9.004085165829734949e-01
1.099218750000000000e+02,-1.296093750000000000e+02,8.971571207783705093e-01
1.115625000000000000e+02,-1.296093750000000000e+02,8.939055399547768399e-01
1.132031250000000000e+02,-1.296093750000000000e+02,8.906591638788211585e-01
1.148437500000000000e+02,-1.296093750000000000e+02,8.874231359198290203e-01
1.164843750000000000e+02,-1.296093750000000000e+02,8.842023512723184986e-01
1.181250000000000000e+02,-1.296093750000000000e+02,8.810014565497981121e-01
1.197656250000000000e+02,-1.296093750000000000e+02,8.778248506156191011e-01
1.214062500000000000e+02,-1.296093750000000000e+02,8.746766865218847942e-01
1.230468750000000000e+02,-1.296093750000000000e+02,8.715608744332912217e-01
1.246875000000000000e+02,-1.296093750000000000e+02,8.684810854190465612e-01
1.263281250000000000e+02,-1.296093750000000000e+02,8.654407560026400326e-01
1.279687500000000000e+02,-1.296093750000000000e+02,8.624430933660323095e-01
1.296093750000000000e+02,-1.296093750000000000e+02,8.594910811117119076e-01
