wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,8.205338143304070527e-14,6.492600119649082610e-14
3.034068136272545075e+02,8.135451698059314079e-14,6.537032325675196166e-14
3.068136272545090151e+02,8.068423705267589418e-14,6.577914959783539096e-14
3.102204408817635226e+02,8.004594014677835911e-14,6.615598383820388000e-14
3.136272545090180301e+02,7.944229892246039694e-14,6.650505012850440036e-14
3.170340681362725377e+02,7.887521226286580033e-14,6.683102416782395666e-14
3.204408817635270452e+02,7.834580007544177310e-14,6.713877620738032175e-14
3.238476953907815528e+02,7.785443311454403708e-14,6.743313993815572748e-14
3.272545090180360603e+02,7.740078920915510331e-14,6.771871689071461629e-14
3.306613226452905678e+02,7.698392726634569207e-14,6.799972156844258524e-14
3.340681362725450754e+02,7.660237111887330364e-14,6.827986872046550242e-14
3.374749498997995829e+02,7.625419646802255951e-14,6.856230101908121613e-14
3.408817635270540904e+02,7.593711561050365578e-14,6.884955315519433801e-14
3.442885771543085980e+02,7.564855613008886148e-14,6.914354697415925939e-14
3.476953907815631055e+02,7.538573112826890920e-14,6.944561164334133524e-14
3.511022044088176131e+02,7.513412294370610331e-14,6.976547316601102213e-14
3.545090180360721206e+02,7.487935750038154130e-14,7.011284227959432668e-14
3.579158316633266281e+02,7.464309685141890887e-14,7.046871142806600507e-14
3.613226452905811357e+02,7.442204055756339028e-14,7.083259518961296054e-14
3.647294589178357000e+02,7.421283866739814918e-14,7.120370439818255690e-14
3.681362725450901507e+02,7.401210461872191411e-14,7.158101123312562361e-14
3.715430861723447151e+02,7.381642346605578055e-14,7.196331025139761443e-14
3.749498997995991658e+02,7.362235683564717089e-14,7.234927397883003448e-14
3.783567134268537302e+02,7.342644587808206946e-14,7.273750213539779764e-14
3.817635270541081809e+02,7.322521334362117557e-14,7.312656392375456146e-14
3.851703406813627453e+02,7.301516576522374889e-14,7.351503307543042854e-14
3.885771543086171960e+02,7.279279661150624281e-14,7.390151554216859231e-14
3.919839679358717603e+02,7.255459117435370052e-14,7.428466985800046027e-14
3.953907815631262679e+02,7.229703388750850686e-14,7.466322029624254658e-14
3.987975951903807754e+02,7.201661873421773019e-14,7.503596301749609164e-14
4.022044088176352830e+02,7.174588569365347159e-14,7.543542026504910673e-14
4.056112224448897905e+02,7.147706357723005421e-14,7.585107763676679516e-14
4.090180360721442980e+02,7.119155490829451746e-14,7.626537048114545139e-14
4.124248496993988056e+02,7.088812303814214903e-14,7.667794578737854605e-14
4.158316633266533131e+02,7.056558738361426266e-14,7.708844718700692276e-14
4.192384769539078206e+02,7.022284352169517567e-14,7.749646687902360772e-14
4.226452905811623282e+02,6.985889303679375583e-14,7.790148760327748207e-14
4.260521042084168357e+02,6.947288518377581093e-14,7.830281401531768740e-14
4.294589178356713433e+02,6.906417270977790662e-14,7.869949264945060247e-14
4.328657314629258508e+02,6.863238449675649738e-14,7.909021943172445038e-14
4.362725450901803583e+02,6.817751805218733763e-14,7.947323339866666691e-14
4.396793587174348659e+02,6.770005529727931726e-14,7.984619485464751150e-14
4.430861723446893734e+02,6.720110559342894950e-14,8.020604560460491417e-14
4.464929859719438809e+02,6.668258052489570435e-14,8.054884804316133217e-14
4.498997995991983885e+02,6.614740563891164427e-14,8.086959863416580871e-14
4.533066132264528960e+02,6.598110792716500527e-14,8.123461055541596198e-14
4.567134268537074036e+02,6.584644532581631026e-14,8.155870048226686013e-14
4.601202404809619111e+02,6.573045759973236237e-14,8.182991289477229132e-14
4.635270541082164186e+02,6.563002385963806978e-14,8.203777258611337246e-14
4.669338677354709262e+02,6.554064180733762643e-14,8.217117340511170686e-14
4.703406813627254337e+02,6.545635007469907591e-14,8.221867660388033157e-14
4.737474949899799412e+02,6.536974241373891419e-14,8.216894677392601909e-14
4.771543086172344488e+02,6.527211188284401472e-14,8.201134151403260852e-14
4.805611222444889563e+02,6.515376306292774022e-14,8.173665318739514860e-14
4.839679358717435207e+02,6.500452280497754244e-14,8.133797266771108946e-14
4.873747494989979714e+02,6.481446284437025308e-14,8.081160739521021898e-14
4.907815631262525358e+02,6.457482061775697447e-14,8.015794533024417936e-14
4.941883767535069865e+02,6.427907106281312065e-14,7.938212322123496926e-14
4.975951903807615508e+02,6.392406953478386542e-14,7.849434550164832053e-14
5.010020040080160015e+02,6.355781925917940870e-14,7.761710763721406985e-14
5.044088176352705659e+02,6.328308345596861133e-14,7.701421883789584522e-14
5.078156312625250166e+02,6.303290095861635591e-14,7.651120603232527736e-14
5.112224448897795810e+02,6.284514492398777564e-14,7.614070502577848223e-14
5.146292585170340317e+02,6.276141335580732435e-14,7.593134897867428901e-14
5.180360721442885961e+02,6.282633064735159054e-14,7.590736216530817259e-14
5.214428857715430468e+02,6.308717988418181689e-14,7.608862567378940735e-14
5.248496993987976111e+02,6.359385306075230271e-14,7.649104137776224411e-14
5.282565130260520618e+02,6.439904576659151057e-14,7.712697233372179784e-14
5.316633266533066262e+02,6.555857518040516655e-14,7.800549484351904902e-14
5.350701402805610769e+02,6.713165523076200848e-14,7.913213096057812232e-14
5.384769539078156413e+02,6.918090396688016374e-14,8.050760699346867113e-14
5.418837675350700920e+02,7.177176433541721132e-14,8.212496980563996680e-14
5.452905811623246564e+02,7.497086757042772809e-14,8.396406653112318753e-14
5.486973947895791071e+02,7.884264358187384335e-14,8.598198587880356214e-14
5.521042084168336714e+02,8.336978953081963976e-14,8.839157866602969218e-14
5.555110220440881221e+02,8.827206913453335998e-14,9.061067563678985655e-14
5.589178356713426865e+02,9.342091116922684639e-14,9.209576211460882938e-14
5.623246492985972509e+02,9.870431703166169353e-14,9.255937643090997860e-14
5.657314629258517016e+02,1.040293753548126762e-13,9.179818282653285982e-14
5.691382765531061523e+02,1.093418188049547960e-13,8.976152935787363795e-14
5.725450901803607167e+02,1.146315168792253808e-13,8.657757253954834908e-14
5.759519038076152810e+02,1.199200096206755331e-13,8.251823641264277735e-14
5.793587174348697317e+02,1.252373429255615295e-13,7.792087826577901875e-14
5.827655310621241824e+02,1.306008675106412462e-13,7.310695201349815170e-14
5.861723446893787468e+02,1.360045593148337001e-13,6.832953792891962379e-14
5.895791583166333112e+02,1.414194645748829403e-13,6.375708376668064759e-14
5.929859719438877619e+02,1.468008619917240785e-13,5.948262640251267642e-14
5.963927855711422126e+02,1.520972349935588837e-13,5.554368793649358060e-14
5.997995991983967770e+02,1.572579831071209185e-13,5.194243997115367280e-14
6.032064128256513413e+02,1.618433606797189783e-13,4.892638453859012613e-14
6.066132264529057920e+02,1.661091632098914173e-13,4.629433627549527554e-14
6.100200400801602427e+02,1.700641418239620245e-13,4.398678770560375688e-14
