intensity_mW_cm2,predicted_k_hr1
4.623115577889447714e+00,1.046176436391314857e+00
4.663316582914572628e+00,1.065661535732318255e+00
4.703517587939698430e+00,1.085371328399202806e+00
4.743718592964824232e+00,1.105306451773795384e+00
4.783919597989950034e+00,1.125467539598254962e+00
4.824120603015075837e+00,1.145855222026443965e+00
4.864321608040200751e+00,1.166470125674142100e+00
4.904522613065326553e+00,1.187312873668153745e+00
4.944723618090452355e+00,1.208384085694328203e+00
4.984924623115578157e+00,1.229684378044536563e+00
5.025125628140703959e+00,1.251214363662628504e+00
5.065326633165828873e+00,1.272974652189403422e+00
5.105527638190954676e+00,1.294965850006624786e+00
5.145728643216080478e+00,1.317188560280100340e+00
5.185929648241206280e+00,1.339643383001863031e+00
5.226130653266332082e+00,1.362330915031472189e+00
5.266331658291456996e+00,1.385251750136461846e+00
5.306532663316582799e+00,1.408406479031963254e+00
5.346733668341708601e+00,1.431795689419516515e+00
5.386934673366834403e+00,1.455419966025103706e+00
5.427135678391960205e+00,1.479279890636419292e+00
5.467336683417085119e+00,1.503376042139398239e+00
5.507537688442210921e+00,1.527708996554026477e+00
5.547738693467336724e+00,1.552279327069444825e+00
5.587939698492462526e+00,1.577087604078375449e+00
5.628140703517588328e+00,1.602134395210882412e+00
5.668341708542713242e+00,1.627420265367483410e+00
5.708542713567839044e+00,1.652945776751634677e+00
5.748743718592964846e+00,1.678711488901598381e+00
5.788944723618090649e+00,1.704717958721715165e+00
5.829145728643216451e+00,1.730965740513093154e+00
5.869346733668341365e+00,1.757455386003728748e+00
5.909547738693467167e+00,1.784187444378076526e+00
5.949748743718592969e+00,1.811162462306074250e+00
5.989949748743718771e+00,1.838380983971646954e+00
6.030150753768844574e+00,1.865843551100697217e+00
6.070351758793970376e+00,1.893550702988591405e+00
6.110552763819095290e+00,1.921502976527162954e+00
6.150753768844221092e+00,1.949700906231234265e+00
6.190954773869346894e+00,1.978145024264678087e+00
6.231155778894472697e+00,2.006835860466020360e+00
6.271356783919598499e+00,2.035773942373604317e+00
6.311557788944723413e+00,2.064959795250320251e+00
6.351758793969849215e+00,2.094393942107914519e+00
6.391959798994975017e+00,2.124076903730881316e+00
6.432160804020100819e+00,2.154009198699956329e+00
6.472361809045226622e+00,2.184191343415217368e+00
6.512562814070351536e+00,2.214623852118792424e+00
6.552763819095477338e+00,2.245307236917205795e+00
6.592964824120603140e+00,2.276242007803340073e+00
6.633165829145728942e+00,2.307428672678053072e+00
6.673366834170854744e+00,2.338867737371435052e+00
6.713567839195979658e+00,2.370559705663726646e+00
6.753768844221105461e+00,2.402505079305900626e+00
6.793969849246231263e+00,2.434704358039912364e+00
6.834170854271357065e+00,2.467158039618633225e+00
6.874371859296482867e+00,2.499866619825465985e+00
6.914572864321607781e+00,2.532830592493655608e+00
6.954773869346733584e+00,2.566050449525298038e+00
6.994974874371859386e+00,2.599526680910053233e+00
7.035175879396985188e+00,2.633259774743572201e+00
7.075376884422110990e+00,2.667250217245638488e+00
7.115577889447235904e+00,2.701498492778037885e+00
7.155778894472361706e+00,2.736005083862156795e+00
7.195979899497487509e+00,2.770770471196307927e+00
7.236180904522613311e+00,2.805795133672808639e+00
7.276381909547739113e+00,2.841079548394796372e+00
7.316582914572864027e+00,2.876624190692797622e+00
7.356783919597989829e+00,2.912429534141056209e+00
7.396984924623115631e+00,2.948496050573614635e+00
7.437185929648241434e+00,2.984824210100168518e+00
7.477386934673367236e+00,3.021414481121690088e+00
7.517587939698492150e+00,3.058267330345820767e+00
7.557788944723617952e+00,3.095383222802055911e+00
7.597989949748743754e+00,3.132762621856695961e+00
7.638190954773869557e+00,3.170405989227598642e+00
7.678391959798995359e+00,3.208313784998720219e+00
7.718592964824120273e+00,3.246486467634448925e+00
7.758793969849246075e+00,3.284924493993745642e+00
7.798994974874371877e+00,3.323628319344077653e+00
7.839195979899497679e+00,3.362598397375169412e+00
7.879396984924623482e+00,3.401835180212561927e+00
7.919597989949749284e+00,3.441339118430982946e+00
7.959798994974874198e+00,3.481110661067539969e+00
8.000000000000000000e+00,3.521150255634735160e+00
