wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,2.833466447771171053e-14,2.694268073880474328e-14
3.034068136272545075e+02,2.805006588890450906e-14,2.699830306019982277e-14
3.068136272545090151e+02,2.779302537841068387e-14,2.704797776103719765e-14
3.102204408817635226e+02,2.756362690488112570e-14,2.709415901612751677e-14
3.136272545090180301e+02,2.736175885951829798e-14,2.713908020408711672e-14
3.170340681362725377e+02,2.718715868148243297e-14,2.718473451157912465e-14
3.204408817635270452e+02,2.703945374123662597e-14,2.723286593820900121e-14
3.238476953907815528e+02,2.691819772663474292e-14,2.728496888698598169e-14
3.272545090180360603e+02,2.682290217938779747e-14,2.734229452942579957e-14
3.306613226452905678e+02,2.675306315392680949e-14,2.740586224022051223e-14
3.340681362725450754e+02,2.670818320932459412e-14,2.747647457211277039e-14
3.374749498997995829e+02,2.668778910667043258e-14,2.755473443770372960e-14
3.408817635270540904e+02,2.669144568119300328e-14,2.764106340227426441e-14
3.442885771543085980e+02,2.671876640363262553e-14,2.773572018475902838e-14
3.476953907815631055e+02,2.676942115155475731e-14,2.783881867124917787e-14
3.511022044088176131e+02,2.684081417049273755e-14,2.795315499550524109e-14
3.545090180360721206e+02,2.693199248390065171e-14,2.808149696796980237e-14
3.579158316633266281e+02,2.704879440992993325e-14,2.821768300274120258e-14
3.613226452905811357e+02,2.719141945999368486e-14,2.836143072193850864e-14
3.647294589178357000e+02,2.736015823832114580e-14,2.851237371595467553e-14
3.681362725450901507e+02,2.755539371403530356e-14,2.867006790456693947e-14
3.715430861723447151e+02,2.777760234940073743e-14,2.883399555050045056e-14
3.749498997995991658e+02,2.802735523330065042e-14,2.900356687805561350e-14
3.783567134268537302e+02,2.830531931911330923e-14,2.917811925545162626e-14
3.817635270541081809e+02,2.861225882008825562e-14,2.935691389550688582e-14
3.851703406813627453e+02,2.894903677240844967e-14,2.953913001659664109e-14
3.885771543086171960e+02,2.931661673553212069e-14,2.972385638546647321e-14
3.919839679358717603e+02,2.971606456018796376e-14,2.991008013596509347e-14
3.953907815631262679e+02,3.014855011553901560e-14,3.009667272319542183e-14
3.987975951903807754e+02,3.061534882748415160e-14,3.028237283064997261e-14
4.022044088176352830e+02,3.105421506925709267e-14,3.046569904345567757e-14
4.056112224448897905e+02,3.148373774898287381e-14,3.064629411047505254e-14
4.090180360721442980e+02,3.193653962961768067e-14,3.082347693357509736e-14
4.124248496993988056e+02,3.241291484021727426e-14,3.099637032465162636e-14
4.158316633266533131e+02,3.291314666810760334e-14,3.116411493974660265e-14
4.192384769539078206e+02,3.343751417023728159e-14,3.132588080479924750e-14
4.226452905811623282e+02,3.398630355725647294e-14,3.148088041340540485e-14
4.260521042084168357e+02,3.455982562324502957e-14,3.162838332289772040e-14
4.294589178356713433e+02,3.515844075000878169e-14,3.176773202965028813e-14
4.328657314629258508e+02,3.578259331848136714e-14,3.189835871088078109e-14
4.362725450901803583e+02,3.643285772456289666e-14,3.201980216685319103e-14
4.396793587174348659e+02,3.710999864299272309e-14,3.213172396969416326e-14
4.430861723446893734e+02,3.781504874098484082e-14,3.223392240382323582e-14
4.464929859719438809e+02,3.854940775869697513e-14,3.232634224171063088e-14
4.498997995991983885e+02,3.931496781342220989e-14,3.240907769912618477e-14
4.533066132264528960e+02,3.962049934909665893e-14,3.255999776286178794e-14
4.567134268537074036e+02,3.989113838810733286e-14,3.272038764055837903e-14
4.601202404809619111e+02,4.014189173722858339e-14,3.288883142975272972e-14
4.635270541082164186e+02,4.037397497128149338e-14,3.306571415582257749e-14
4.669338677354709262e+02,4.058891214333646265e-14,3.325097892995811699e-14
4.703406813627254337e+02,4.078847902480665086e-14,3.344397409436371648e-14
4.737474949899799412e+02,4.097462909921727716e-14,3.364327185165475108e-14
4.771543086172344488e+02,4.114940023308781853e-14,3.384645547224283704e-14
4.805611222444889563e+02,4.131479955235354918e-14,3.404987302872424457e-14
4.839679358717435207e+02,4.147266375187849300e-14,3.424835741259652296e-14
4.873747494989979714e+02,4.162449203936905887e-14,3.443491563141026700e-14
4.907815631262525358e+02,4.177124943792753992e-14,3.460039567024799768e-14
4.941883767535069865e+02,4.191313963279907352e-14,3.473314723242763786e-14
4.975951903807615508e+02,4.204934945722673278e-14,3.481870409925267105e-14
5.010020040080160015e+02,4.201534164195176157e-14,3.481146177022141662e-14
5.044088176352705659e+02,4.154831630898293002e-14,3.462876051624788306e-14
5.078156312625250166e+02,4.101638441303446796e-14,3.430776180516902690e-14
5.112224448897795810e+02,4.041587415221695728e-14,3.383427758378875621e-14
5.146292585170340317e+02,3.974446442521878558e-14,3.319807984477775667e-14
5.180360721442885961e+02,3.900164695480878837e-14,3.239402962218797041e-14
5.214428857715430468e+02,3.818907617710065692e-14,3.142290535515568179e-14
5.248496993987976111e+02,3.731074706544594428e-14,3.029178453939059560e-14
5.282565130260520618e+02,3.637296177858653221e-14,2.901388668503951010e-14
5.316633266533066262e+02,3.538407759398959394e-14,2.760786611398728107e-14
5.350701402805610769e+02,3.435406398411012667e-14,2.609663197419949101e-14
5.384769539078156413e+02,3.329392707398575834e-14,2.450584773565577537e-14
5.418837675350700920e+02,3.221507754626722863e-14,2.286230476486240441e-14
5.452905811623246564e+02,3.112871976754350995e-14,2.119236602061770884e-14
5.486973947895791071e+02,3.004532685328874458e-14,1.952064056402732416e-14
5.521042084168336714e+02,2.876633121815636378e-14,1.802910020717500331e-14
5.555110220440881221e+02,2.743094964385865220e-14,1.671203655586335691e-14
5.589178356713426865e+02,2.617913693563162534e-14,1.548277629627172916e-14
5.623246492985972509e+02,2.500736851542919417e-14,1.434063590298779904e-14
5.657314629258517016e+02,2.391125288607246592e-14,1.328296542880616847e-14
5.691382765531061523e+02,2.288594062901512094e-14,1.230581152454595454e-14
5.725450901803607167e+02,2.192642190514969492e-14,1.140443168593854599e-14
5.759519038076152810e+02,2.102773310730657254e-14,1.057367854431812652e-14
5.793587174348697317e+02,2.018509288561286867e-14,9.808276907593348539e-15
