wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,1.596665581283760344e-13,1.145332883749607409e-13
3.034068136272545075e+02,1.585445331718519315e-13,1.154473941488093125e-13
3.068136272545090151e+02,1.574477495888450795e-13,1.163150550689624638e-13
3.102204408817635226e+02,1.563814680506631458e-13,1.171331177339832621e-13
3.136272545090180301e+02,1.553510491224577901e-13,1.179009228524945209e-13
3.170340681362725377e+02,1.543615015897979892e-13,1.186201444478073338e-13
3.204408817635270452e+02,1.534171174075941802e-13,1.192944449434380327e-13
3.238476953907815528e+02,1.525212101223073294e-13,1.199290048231446007e-13
3.272545090180360603e+02,1.516759615379268310e-13,1.205299877365333263e-13
3.306613226452905678e+02,1.508823709261036683e-13,1.211039976750713320e-13
3.340681362725450754e+02,1.501402930999412257e-13,1.216575754855450456e-13
3.374749498997995829e+02,1.494485466643440011e-13,1.221967694438169764e-13
3.408817635270540904e+02,1.488050717331622353e-13,1.227268009951820538e-13
3.442885771543085980e+02,1.482071169530558234e-13,1.232518339585730040e-13
3.476953907815631055e+02,1.476514381107203646e-13,1.237748448412779967e-13
3.511022044088176131e+02,1.471126321158101294e-13,1.243132421223278521e-13
3.545090180360721206e+02,1.465654037441782346e-13,1.248836665082764884e-13
3.579158316633266281e+02,1.460529844697849066e-13,1.254522851291580598e-13
3.613226452905811357e+02,1.455719583809472098e-13,1.260175397746813991e-13
3.647294589178357000e+02,1.451192253711564039e-13,1.265770735663489595e-13
3.681362725450901507e+02,1.446921012887006312e-13,1.271279078684151561e-13
3.715430861723447151e+02,1.442884000757844100e-13,1.276666190466894174e-13
3.749498997995991658e+02,1.439065012739083919e-13,1.281895066198082734e-13
3.783567134268537302e+02,1.435454063777838576e-13,1.286927466688793801e-13
3.817635270541081809e+02,1.432047873731370782e-13,1.291725263968042358e-13
3.851703406813627453e+02,1.428850305072955805e-13,1.296251573862925951e-13
3.885771543086171960e+02,1.425872779982504192e-13,1.300471664213614107e-13
3.919839679358717603e+02,1.423134700430788183e-13,1.304353637517095255e-13
3.953907815631262679e+02,1.420663891731998084e-13,1.307868894370295368e-13
3.987975951903807754e+02,1.418497087394336814e-13,1.310992389466581179e-13
4.022044088176352830e+02,1.416270205145139945e-13,1.314499331107814065e-13
4.056112224448897905e+02,1.414063465344024877e-13,1.318123807065521897e-13
4.090180360721442980e+02,1.412106454181398146e-13,1.321449646560152851e-13
4.124248496993988056e+02,1.410441270622497771e-13,1.324475435278785056e-13
4.158316633266533131e+02,1.409114480331014308e-13,1.327202812544839103e-13
4.192384769539078206e+02,1.408177245983866461e-13,1.329635776098066472e-13
4.226452905811623282e+02,1.407685543896022304e-13,1.331779852380248533e-13
4.260521042084168357e+02,1.407700481800882673e-13,1.333641140479930890e-13
4.294589178356713433e+02,1.408288734447805401e-13,1.335225234414446460e-13
4.328657314629258508e+02,1.409523116290707694e-13,1.336536023155447521e-13
4.362725450901803583e+02,1.411483314134936116e-13,1.337574360307465262e-13
4.396793587174348659e+02,1.414256807401021114e-13,1.338336585049652706e-13
4.430861723446893734e+02,1.417940009902323117e-13,1.338812862297315823e-13
4.464929859719438809e+02,1.422639674996089521e-13,1.338985291135373508e-13
4.498997995991983885e+02,1.428474615956198351e-13,1.338825706814823052e-13
4.533066132264528960e+02,1.429279712112994059e-13,1.341888014100558199e-13
4.567134268537074036e+02,1.429733574139966172e-13,1.345016572235626310e-13
4.601202404809619111e+02,1.429948569286962207e-13,1.348058414862593837e-13
4.635270541082164186e+02,1.429872430725759126e-13,1.350949571219207050e-13
4.669338677354709262e+02,1.429460215771401450e-13,1.353611894265112143e-13
4.703406813627254337e+02,1.428676852904865376e-13,1.355954005124741777e-13
4.737474949899799412e+02,1.427499564398229787e-13,1.357873108722854447e-13
4.771543086172344488e+02,1.425920047696963249e-13,1.359257758600147876e-13
4.805611222444889563e+02,1.423946282696646783e-13,1.359991544669701276e-13
4.839679358717435207e+02,1.421603824341270355e-13,1.359957508196716123e-13
4.873747494989979714e+02,1.418936448853831634e-13,1.359042846760738317e-13
4.907815631262525358e+02,1.416006054889126219e-13,1.357143162474623235e-13
4.941883767535069865e+02,1.412891780228849491e-13,1.354165146970320449e-13
4.975951903807615508e+02,1.409688371423256587e-13,1.350026217045120922e-13
5.010020040080160015e+02,1.404127109898007756e-13,1.345969213993133827e-13
5.044088176352705659e+02,1.392287472749426461e-13,1.344213942412323125e-13
5.078156312625250166e+02,1.379414365814555245e-13,1.341689622361819211e-13
5.112224448897795810e+02,1.365332722668715094e-13,1.338156799556752811e-13
5.146292585170340317e+02,1.349809479372775835e-13,1.333300112478185987e-13
5.180360721442885961e+02,1.332552059047472009e-13,1.326759916056950692e-13
5.214428857715430468e+02,1.313213911067183635e-13,1.318192984396654034e-13
5.248496993987976111e+02,1.291410589013041965e-13,1.307358804968519024e-13
5.282565130260520618e+02,1.266747950983947401e-13,1.294213196365134507e-13
5.316633266533066262e+02,1.238860005305081039e-13,1.278975231852039804e-13
5.350701402805610769e+02,1.207449683041532234e-13,1.262129021070378422e-13
5.384769539078156413e+02,1.172324997349400606e-13,1.244339665558099229e-13
5.418837675350700920e+02,1.133427856588945660e-13,1.226298669827411961e-13
5.452905811623246564e+02,1.090860936468682602e-13,1.208546983115201969e-13
5.486973947895791071e+02,1.044923562708110737e-13,1.191332272044728972e-13
5.521042084168336714e+02,9.929150930228383614e-14,1.185881432342493452e-13
5.555110220440881221e+02,9.409397625385265949e-14,1.189545075980160305e-13
5.589178356713426865e+02,8.938363945228499514e-14,1.195429729352777893e-13
5.623246492985972509e+02,8.535511976055153061e-14,1.203471447162669423e-13
5.657314629258517016e+02,8.218041042070793807e-14,1.213983682593352924e-13
5.691382765531061523e+02,7.999594891186967486e-14,1.227638319176792881e-13
5.725450901803607167e+02,7.889672931072161895e-14,1.245351562245167113e-13
5.759519038076152810e+02,7.893807430290192151e-14,1.268067223559691934e-13
5.793587174348697317e+02,8.014277505070889914e-14,1.296411976202514124e-13
5.827655310621241824e+02,8.250956683327321499e-14,1.330181231957790083e-13
5.861723446893787468e+02,8.601933556697203672e-14,1.367653998417413526e-13
5.895791583166333112e+02,9.063881370782989397e-14,1.404936378576236615e-13
5.929859719438877619e+02,9.632748912238271556e-14,1.435955659477117921e-13
5.963927855711422126e+02,1.030564526508765108e-13,1.454006159912381728e-13
5.997995991983967770e+02,1.108355878615501370e-13,1.454868180063389822e-13
6.032064128256513413e+02,1.203004925658137428e-13,1.442091149896216828e-13
6.066132264529057920e+02,1.308092144448149382e-13,1.419406835031729049e-13
6.100200400801602427e+02,1.420960419682388581e-13,1.393315912870236912e-13
6.134268537074148071e+02,1.536929709184928727e-13,1.366251811967378177e-13
6.168336673346693715e+02,1.649238171888969278e-13,1.337203871590707314e-13
6.202404809619238222e+02,1.750118240407202964e-13,1.303883963263950984e-13
6.236472945891782729e+02,1.832356758540714163e-13,1.264565520248285583e-13
6.270541082164328373e+02,1.890887410610001761e-13,1.219047154034309200e-13
6.304609218436874016e+02,1.923844129278575126e-13,1.168751650681098806e-13
6.338677354709418523e+02,1.932699033308863480e-13,1.116219838965871427e-13
6.372745490981963030e+02,1.921547255682976634e-13,1.064372126217086717e-13
6.406813627254508674e+02,1.895959502172980392e-13,1.015870247630608798e-13
6.440881763527054318e+02,1.861879445836480721e-13,9.727508047895415235e-14
6.474949899799598825e+02,1.824855753717389085e-13,9.363328662180345517e-14
6.509018036072143332e+02,1.789199957958750940e-13,9.090243193742112879e-14
6.543086172344688975e+02,1.756918841159257184e-13,8.929107601808187774e-14
6.577154308617234619e+02,1.730997054457810424e-13,8.825405736384120144e-14
6.611222444889779126e+02,1.713052991709028388e-13,8.778443205522580718e-14
6.645290581162324770e+02,1.704412365718996028e-13,8.787302084427088114e-14
6.679358717434870414e+02,1.706192067637998551e-13,8.851300416378173137e-14
6.713426853707414921e+02,1.719364695409059393e-13,8.970331523546400093e-14
6.747494989979959428e+02,1.744802409535812084e-13,9.145107157376300431e-14
6.781563126252505072e+02,1.783300208861970815e-13,9.377313649029997791e-14
6.815631262525050715e+02,1.835577883118937883e-13,9.669664060576442719e-14
6.849699398797595222e+02,1.902257049420590604e-13,1.002578911913899126e-13
6.883767535070139729e+02,1.983804679519454466e-13,1.044984939151971902e-13
6.917835671342685373e+02,2.080427212495902122e-13,1.094566449565047841e-13
6.951903807615231017e+02,2.191890535232675546e-13,1.151504490537393584e-13
6.985971943887775524e+02,2.317234903982427954e-13,1.215491347341295478e-13
7.020040080160320031e+02,2.449515488470006661e-13,1.284784457680613011e-13
7.054108216432865675e+02,2.585521123948062456e-13,1.356612993493618564e-13
7.088176352705411318e+02,2.723107084938498242e-13,1.426824365052934751e-13
7.122244488977955825e+02,2.855237923331781958e-13,1.488901927856821623e-13
