wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,1.204883981059118222e-14,1.362503368842002577e-14
3.034068136272545075e+02,1.182917411745404662e-14,1.371607604576079258e-14
3.068136272545090151e+02,1.160699778695024468e-14,1.379380991208805724e-14
3.102204408817635226e+02,1.138280811192376552e-14,1.385758542351876106e-14
3.136272545090180301e+02,1.115711084010480275e-14,1.390686018204193618e-14
3.170340681362725377e+02,1.093041382549461357e-14,1.394120234202067173e-14
3.204408817635270452e+02,1.070322126171580577e-14,1.396029210960335513e-14
3.238476953907815528e+02,1.047602848453430329e-14,1.396392164216145405e-14
3.272545090180360603e+02,1.024931733462935957e-14,1.395199336849316594e-14
3.306613226452905678e+02,1.002355207368710330e-14,1.392451678002031938e-14
3.340681362725450754e+02,9.799175847135126952e-15,1.388160378223476396e-14
3.374749498997995829e+02,9.576607685523027055e-15,1.382346271953362652e-14
3.408817635270540904e+02,9.356240033951231465e-15,1.375039121769341050e-14
3.442885771543085980e+02,9.138436795369167213e-15,1.366276800949216025e-14
3.476953907815631055e+02,8.923531869333827209e-15,1.356104392663367734e-14
3.511022044088176131e+02,8.708926454817913491e-15,1.344456111985842934e-14
3.545090180360721206e+02,8.492276832495853937e-15,1.331187102660750813e-14
3.579158316633266281e+02,8.280169917718207032e-15,1.316565852346838919e-14
3.613226452905811357e+02,8.072806894499736847e-15,1.300657038038341024e-14
3.647294589178357000e+02,7.870352113185021368e-15,1.283527524167429954e-14
3.681362725450901507e+02,7.672934571085604137e-15,1.265245276120752381e-14
3.715430861723447151e+02,7.480649661663079562e-15,1.245878320601272730e-14
3.749498997995991658e+02,7.293561138681602728e-15,1.225493769457493800e-14
3.783567134268537302e+02,7.111703243498672446e-15,1.204156921665524228e-14
3.817635270541081809e+02,6.935082946359855918e-15,1.181930456114900525e-14
3.851703406813627453e+02,6.763682256065729663e-15,1.158873725789556951e-14
3.885771543086171960e+02,6.597460556527704500e-15,1.135042161910588301e-14
3.919839679358717603e+02,6.436356933350669427e-15,1.110486794660667114e-14
3.953907815631262679e+02,6.280292458506201639e-15,1.085253895267260673e-14
3.987975951903807754e+02,6.129172406225495929e-15,1.059384742491322652e-14
4.022044088176352830e+02,5.966532333990556149e-15,1.032855865184415109e-14
4.056112224448897905e+02,5.799704862711030019e-15,1.005645290224654788e-14
4.090180360721442980e+02,5.637606152967314118e-15,9.778130033088411929e-15
4.124248496993988056e+02,5.480223554721441269e-15,9.494057863075212410e-15
4.158316633266533131e+02,5.327525944831209753e-15,9.204707205139372934e-15
4.192384769539078206e+02,5.179465880981865667e-15,8.910553641856807921e-15
4.226452905811623282e+02,5.035981672648170495e-15,8.612079133724666981e-15
4.260521042084168357e+02,4.896999349785641066e-15,8.309773351966980019e-15
4.294589178356713433e+02,4.762434514606227789e-15,8.004134643043230635e-15
4.328657314629258508e+02,4.632194066049009183e-15,7.695670550549330956e-15
4.362725450901803583e+02,4.506177790374657449e-15,7.384897840983024175e-15
4.396793587174348659e+02,4.384279814672523676e-15,7.072342002049349890e-15
4.430861723446893734e+02,4.266389922970698220e-15,6.758536204895525886e-15
4.464929859719438809e+02,4.152394737090746010e-15,6.444019743948301078e-15
4.498997995991983885e+02,4.042178766409277098e-15,6.129335988960456703e-15
4.533066132264528960e+02,3.909231439599000267e-15,5.853237867093200622e-15
4.567134268537074036e+02,3.780517244169657484e-15,5.583977084980715705e-15
4.601202404809619111e+02,3.656704213203791791e-15,5.320741772158719674e-15
4.635270541082164186e+02,3.537635289716473621e-15,5.063749252019217708e-15
4.669338677354709262e+02,3.423151963623236226e-15,4.813165616967030262e-15
4.703406813627254337e+02,3.313095390546399159e-15,4.569110049730872804e-15
4.737474949899799412e+02,3.207307357208559016e-15,4.331659202678433641e-15
4.771543086172344488e+02,3.105631105717912469e-15,4.100851540961103247e-15
4.805611222444889563e+02,3.007912029174213334e-15,3.876691573434248367e-15
4.839679358717435207e+02,2.913998250884813941e-15,3.659153912179490542e-15
4.873747494989979714e+02,2.823741099130012449e-15,3.448187116701131462e-15
4.907815631262525358e+02,2.736995488900832893e-15,3.243717292260433075e-15
4.941883767535069865e+02,2.653620221395981152e-15,3.045651423275011110e-15
4.975951903807615508e+02,2.573478211345371594e-15,2.853880432275664980e-15
5.010020040080160015e+02,2.494578860490940295e-15,2.680188447836585803e-15
5.044088176352705659e+02,2.414450923434157891e-15,2.540921260155568941e-15
5.078156312625250166e+02,2.337544832439891593e-15,2.407153861331285778e-15
5.112224448897795810e+02,2.263711031536703084e-15,2.278617052106774212e-15
5.146292585170340317e+02,2.192807446463849241e-15,2.155053728250398317e-15
5.180360721442885961e+02,2.124699138646558987e-15,2.036218818533761983e-15
5.214428857715430468e+02,2.059257964068022598e-15,1.921879108740493383e-15
5.248496993987976111e+02,1.996362239734133318e-15,1.811812978078122638e-15
5.282565130260520618e+02,1.935896419711617317e-15,1.705810069807484404e-15
5.316633266533066262e+02,1.877750782145586538e-15,1.603670914001137338e-15
5.350701402805610769e+02,1.821821128203883905e-15,1.505206517159666368e-15
5.384769539078156413e+02,1.768008493532284038e-15,1.410237930294931420e-15
5.418837675350700920e+02,1.716218872519279874e-15,1.318595805339163188e-15
5.452905811623246564e+02,1.666362955447226531e-15,1.230119947205667879e-15
5.486973947895791071e+02,1.618355878436075450e-15,1.144658867571083619e-15
5.521042084168336714e+02,1.570317794994814667e-15,1.086042828630456488e-15
5.555110220440881221e+02,1.522980594737704183e-15,1.044129092204482483e-15
5.589178356713426865e+02,1.477404189875093284e-15,1.003768461507520901e-15
5.623246492985972509e+02,1.433508716645235417e-15,9.648700791211062254e-16
5.657314629258517016e+02,1.391218702450565233e-15,9.273495693100697959e-16
5.691382765531061523e+02,1.350462773401721610e-15,8.911284951182214775e-16
5.725450901803607167e+02,1.311173385397042121e-15,8.561338668001856781e-16
5.759519038076152810e+02,1.273286576480294978e-15,8.222976962667271951e-16
5.793587174348697317e+02,1.236741738470600987e-15,7.895565928107808030e-16
5.827655310621241824e+02,1.201481406077913833e-15,7.578513959032027670e-16
5.861723446893787468e+02,1.167451061910257127e-15,7.271268413090005055e-16
5.895791583166333112e+02,1.134598955948184902e-15,6.973312571834181907e-16
5.929859719438877619e+02,1.102875938210746151e-15,6.684162871688066103e-16
5.963927855711422126e+02,1.072235303468755017e-15,6.403366378336959351e-16
5.997995991983967770e+02,1.042632646976916451e-15,6.130498480791264565e-16
6.032064128256513413e+02,1.012773199124124091e-15,5.957091906589271507e-16
6.066132264529057920e+02,9.838551507351501887e-16,5.794621639840725411e-16
6.100200400801602427e+02,9.559166824500571827e-16,5.637003238949203648e-16
6.134268537074148071e+02,9.289177589796458155e-16,5.483976961837513799e-16
6.168336673346693715e+02,9.028203109778637826e-16,5.335299616750481372e-16
6.202404809619238222e+02,8.775881192383348486e-16,5.190743286824043641e-16
6.236472945891782729e+02,8.531867070856148835e-16,5.050094168120804566e-16
6.270541082164328373e+02,8.295832402666531997e-16,4.913151509751189028e-16
6.304609218436874016e+02,8.067464337174425226e-16,4.779726645965001790e-16
6.338677354709418523e+02,7.846464646414186267e-16,4.649642111206624060e-16
6.372745490981963030e+02,7.632548913906897279e-16,4.522730830105572742e-16
6.406813627254508674e+02,7.425445776895252094e-16,4.398835375235294181e-16
6.440881763527054318e+02,7.224896217827158967e-16,4.277807286232563692e-16
6.474949899799598825e+02,7.030652901297189696e-16,4.159506444543284114e-16
6.509018036072143332e+02,6.845770682824982573e-16,4.052003540100482366e-16
6.543086172344688975e+02,6.675529281637560813e-16,3.969402277301592465e-16
6.577154308617234619e+02,6.510389007931896071e-16,3.888624459928929996e-16
6.611222444889779126e+02,6.350167477959144521e-16,3.809598842502587098e-16
6.645290581162324770e+02,6.194689954651523945e-16,3.732257621926322069e-16
6.679358717434870414e+02,6.043788976777721447e-16,3.656536234396122479e-16
6.713426853707414921e+02,5.897304008731615861e-16,3.582373166335757950e-16
6.747494989979959428e+02,5.755081109641482663e-16,3.509709778254258636e-16
6.781563126252505072e+02,5.616972620582612985e-16,3.438490140517687664e-16
6.815631262525050715e+02,5.482836868763991768e-16,3.368660880115299550e-16
6.849699398797595222e+02,5.352537887639420106e-16,3.300171037579782090e-16
6.883767535070139729e+02,5.225945151967628671e-16,3.232971933293435806e-16
6.917835671342685373e+02,5.102933326914149751e-16,3.167017042476448535e-16
6.951903807615231017e+02,4.983382030349821514e-16,3.102261878213620242e-16
6.985971943887775524e+02,4.867175607558007249e-16,3.038663881928452474e-16
7.020040080160320031e+02,4.755266864058147836e-16,2.981428090869761708e-16
7.054108216432865675e+02,4.647171884221770172e-16,2.928847663583850196e-16
7.088176352705411318e+02,4.542030727736709386e-16,2.877193694361181666e-16
7.122244488977955825e+02,4.439747448692884871e-16,2.826435813553538428e-16
7.156312625250500332e+02,4.340229735907357942e-16,2.776544878627377350e-16
7.190380761523045976e+02,4.243388754939564616e-16,2.727492913279626046e-16
7.224448897795591620e+02,4.149138997889910567e-16,2.679253050107162360e-16
7.258517034068136127e+02,4.057398140550206087e-16,2.631799476592402300e-16
7.292585170340680634e+02,3.968086906501912593e-16,2.585107384184316533e-16
7.326653306613226277e+02,3.881128937782745313e-16,2.539152920272189473e-16
7.360721442885771921e+02,3.796450671764960972e-16,2.493913142862995979e-16
7.394789579158316428e+02,3.713981223911169539e-16,2.449365977788573637e-16
7.428857715430860935e+02,3.633652276092646776e-16,2.405490178279194335e-16
7.462925851703406579e+02,3.555397970174435210e-16,2.362265286754855090e-16
7.496993987975952223e+02,3.479154806589055045e-16,2.319671598693769296e-16
7.531062124248496730e+02,3.403660205737520196e-16,2.284541217982570394e-16
7.565130260521041237e+02,3.329985810191738229e-16,2.250587218945584612e-16
7.599198396793586880e+02,3.258191280779225032e-16,2.217127177297742634e-16
7.633266533066132524e+02,3.188219931986878993e-16,2.184146021913999980e-16
7.667334669338677031e+02,3.120017066797867348e-16,2.151629222894636454e-16
7.701402805611221538e+02,3.053529896813945380e-16,2.119562767441573872e-16
7.735470941883767182e+02,2.988707466006307029e-16,2.087933136999882465e-16
7.769539078156312826e+02,2.925500577910267430e-16,2.056727285588356070e-16
7.803607214428857333e+02,2.863861726089335107e-16,2.025932619248591981e-16
7.837675350701401840e+02,2.803745027704762811e-16,1.995536976545520343e-16
7.871743486973947483e+02,2.745106160034933770e-16,1.965528610057984792e-16
7.905811623246493127e+02,2.687902299798427139e-16,1.935896168801731290e-16
7.939879759519037634e+02,2.632092065141855594e-16,1.906628681530294874e-16
7.973947895791582141e+02,2.577635460161909699e-16,1.877715540864388307e-16
8.008016032064127785e+02,2.525232510472519159e-16,1.850127093086930145e-16
8.042084168336673429e+02,2.476442201161600605e-16,1.826048331151157618e-16
8.076152304609217936e+02,2.428789659911634002e-16,1.802277072168762834e-16
8.110220440881763579e+02,2.382243406142502526e-16,1.778805932562698171e-16
8.144288577154308086e+02,2.336772971370272754e-16,1.755627750947809035e-16
8.178356713426853730e+02,2.292348862074066755e-16,1.732735579894588350e-16
8.212424849699398237e+02,2.248942524095440470e-16,1.710122678053584945e-16
8.246492985971943881e+02,2.206526308499102500e-16,1.687782502622772176e-16
8.280561122244488388e+02,2.165073438829079280e-16,1.665708702139856489e-16
8.314629258517034032e+02,2.124557979696491509e-16,1.643895109583977480e-16
8.348697394789578539e+02,2.084954806638873036e-16,1.622335735771399399e-16
8.382765531062124182e+02,2.046239577193907841e-16,1.601024763030437972e-16
8.416833667334668689e+02,2.008388703133223696e-16,1.579956539142482333e-16
8.450901803607214333e+02,1.971379323804459971e-16,1.559125571535789183e-16
8.484969939879758840e+02,1.935189280532550804e-16,1.538526521720126548e-16
8.519038076152304484e+02,1.900252580300772984e-16,1.519994846144269751e-16
8.553106212424848991e+02,1.866431944648626249e-16,1.503119192230720905e-16
8.587174348697394635e+02,1.833342472685518959e-16,1.486436853254778836e-16
8.621242484969939142e+02,1.800965384067574889e-16,1.469943812840824132e-16
8.655310621242484785e+02,1.769282458958544234e-16,1.453636161149266497e-16
8.689378757515029292e+02,1.738276018949127419e-16,1.437510091396227493e-16
8.723446893787574936e+02,1.707928908706037399e-16,1.421561896507250769e-16
8.757515030060119443e+02,1.678224478319945393e-16,1.405787965899542610e-16
8.791583166332665087e+02,1.649146566322590204e-16,1.390184782387380804e-16
8.825651302605210731e+02,1.620679483345115349e-16,1.374748919204596875e-16
8.859719438877755238e+02,1.592807996390544748e-16,1.359477037139201543e-16
8.893787575150300881e+02,1.565517313695034870e-16,1.344365881775748374e-16
8.927855711422845388e+02,1.538793070153101526e-16,1.329412280840213112e-16
8.961923847695391032e+02,1.512621313283893571e-16,1.314613141643299427e-16
8.995991983967935539e+02,1.486988489715891208e-16,1.299965448617837775e-16
9.030060120240481183e+02,1.462444268818983200e-16,1.284978249975486045e-16
9.064128256513025690e+02,1.438469664571570326e-16,1.270080753065932249e-16
9.098196392785571334e+02,1.414976607647211294e-16,1.255335758432767897e-16
9.132264529058115841e+02,1.391953577973438338e-16,1.240740493541102219e-16
9.166332665330661484e+02,1.369389375927934436e-16,1.226292251357969561e-16
9.200400801603205991e+02,1.347273112171035518e-16,1.211988388445117381e-16
9.234468937875751635e+02,1.325594197840620814e-16,1.197826323117551479e-16
9.268537074148296142e+02,1.304342335095001812e-16,1.183803533664819078e-16
9.302605210420841786e+02,1.283507507990169402e-16,1.169917556633283437e-16
9.336673346693386293e+02,1.263079973678140206e-16,1.156165985166282110e-16
9.370741482965931937e+02,1.243050253914081054e-16,1.142546467400521872e-16
9.404809619238476444e+02,1.223409126860063169e-16,1.129056704915791269e-16
9.438877755511022087e+02,1.204147619173868018e-16,1.115694451237110731e-16
9.472945891783566594e+02,1.185256998372148400e-16,1.102457510385669290e-16
9.507014028056112238e+02,1.166835623878559324e-16,1.089955354987551616e-16
9.541082164328656745e+02,1.149171322710163593e-16,1.079920746885893200e-16
9.575150300601202389e+02,1.131838124513597743e-16,1.069984534232091764e-16
