yz_axis1_nm,yz_axis2_nm,|H/H0|^2
-6.890625000000000000e+01,-1.312500000000000000e+02,2.006369078308556819e+00
-6.726562500000000000e+01,-1.312500000000000000e+02,2.027522746092821126e+00
-6.562500000000000000e+01,-1.312500000000000000e+02,2.048754137808651787e+00
-6.398437500000000000e+01,-1.312500000000000000e+02,2.070040210460301733e+00
-6.234375000000000000e+01,-1.312500000000000000e+02,2.091356806554846237e+00
-6.070312500000000000e+01,-1.312500000000000000e+02,2.112678676779121467e+00
-5.906250000000000000e+01,-1.312500000000000000e+02,2.133979509111741280e+00
-5.742187500000000000e+01,-1.312500000000000000e+02,2.155231964590352600e+00
-5.578125000000000000e+01,-1.312500000000000000e+02,2.176407719913804328e+00
-5.414062500000000000e+01,-1.312500000000000000e+02,2.197477517013712855e+00
-5.250000000000000000e+01,-1.312500000000000000e+02,2.218411219680050284e+00
-5.085937500000000000e+01,-1.312500000000000000e+02,2.239177877271424144e+00
-4.921875000000000000e+01,-1.312500000000000000e+02,2.259745795482923647e+00
-4.757812500000000000e+01,-1.312500000000000000e+02,2.280082614083425607e+00
-4.593750000000000000e+01,-1.312500000000000000e+02,2.300155391470603217e+00
-4.429687500000000000e+01,-1.312500000000000000e+02,2.319930695826302625e+00
-4.265625000000000000e+01,-1.312500000000000000e+02,2.339374702588230104e+00
-4.101562500000000000e+01,-1.312500000000000000e+02,2.358453297886808464e+00
-3.937500000000000000e+01,-1.312500000000000000e+02,2.377132187529532814e+00
-3.773437500000000000e+01,-1.312500000000000000e+02,2.395377011050062954e+00
-3.609375000000000000e+01,-1.312500000000000000e+02,2.413153460276573181e+00
-3.445312500000000000e+01,-1.312500000000000000e+02,2.430427401814439836e+00
-3.281250000000000000e+01,-1.312500000000000000e+02,2.447165002783032506e+00
-3.117187500000000000e+01,-1.312500000000000000e+02,2.463332859096210470e+00
-2.953125000000000000e+01,-1.312500000000000000e+02,2.478898125531522556e+00
-2.789062500000000000e+01,-1.312500000000000000e+02,2.493828646795332116e+00
-2.625000000000000000e+01,-1.312500000000000000e+02,2.508093088760081635e+00
-2.460937500000000000e+01,-1.312500000000000000e+02,2.521661069026832180e+00
-2.296875000000000000e+01,-1.312500000000000000e+02,2.534503285950912232e+00
-2.132812500000000000e+01,-1.312500000000000000e+02,2.546591645261680803e+00
-1.968750000000000000e+01,-1.312500000000000000e+02,2.557899383408826832e+00
-1.804687500000000000e+01,-1.312500000000000000e+02,2.568401186777643286e+00
-1.640625000000000000e+01,-1.312500000000000000e+02,2.578073305933968662e+00
-1.476562500000000000e+01,-1.312500000000000000e+02,2.586893664085895939e+00
-1.312500000000000000e+01,-1.312500000000000000e+02,2.594841958983661545e+00
-1.148437500000000000e+01,-1.312500000000000000e+02,2.601899757520675038e+00
-9.843750000000000000e+00,-1.312500000000000000e+02,2.608050582347312130e+00
-8.203125000000000000e+00,-1.312500000000000000e+02,2.613279989864004005e+00
-6.562500000000000000e+00,-1.312500000000000000e+02,2.617575639020924605e+00
-4.921875000000000000e+00,-1.312500000000000000e+02,2.620927350417433299e+00
-3.281250000000000000e+00,-1.312500000000000000e+02,2.623327155264831401e+00
-1.640625000000000000e+00,-1.312500000000000000e+02,2.624769333850115682e+00
0.000000000000000000e+00,-1.312500000000000000e+02,2.625249671798196793e+00
1.640625000000000000e+00,-1.312500000000000000e+02,2.624769333850115682e+00
3.281250000000000000e+00,-1.312500000000000000e+02,2.623327155264831401e+00
4.921875000000000000e+00,-1.312500000000000000e+02,2.620927350417433299e+00
6.562500000000000000e+00,-1.312500000000000000e+02,2.617575639020924605e+00
8.203125000000000000e+00,-1.312500000000000000e+02,2.613279989864004005e+00
9.843750000000000000e+00,-1.312500000000000000e+02,2.608050582347312130e+00
1.148437500000000000e+01,-1.312500000000000000e+02,2.601899757520675038e+00
1.312500000000000000e+01,-1.312500000000000000e+02,2.594841958983661545e+00
1.476562500000000000e+01,-1.312500000000000000e+02,2.586893664085895939e+00
1.640625000000000000e+01,-1.312500000000000000e+02,2.578073305933968662e+00
1.804687500000000000e+01,-1.312500000000000000e+02,2.568401186777643286e+00
1.968750000000000000e+01,-1.312500000000000000e+02,2.557899383408826832e+00
2.132812500000000000e+01,-1.312500000000000000e+02,2.546591645261680803e+00
2.296875000000000000e+01,-1.312500000000000000e+02,2.534503285950912232e+00
2.460937500000000000e+01,-1.312500000000000000e+02,2.521661069026832180e+00
2.625000000000000000e+01,-1.312500000000000000e+02,2.508093088760081635e+00
2.789062500000000000e+01,-1.312500000000000000e+02,2.493828646795332116e+00
