wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,1.176886727249929221e-13,8.761721589871320635e-14
3.034068136272545075e+02,1.169086753658141849e-13,8.823697288498791109e-14
3.068136272545090151e+02,1.161616045734906405e-13,8.886303164725556669e-14
3.102204408817635226e+02,1.154432644944024330e-13,8.949525557487333448e-14
3.136272545090180301e+02,1.147498234216169254e-13,9.013194058399095866e-14
3.170340681362725377e+02,1.140779924595158824e-13,9.077014159347617152e-14
3.204408817635270452e+02,1.134251327152428988e-13,9.140602424094344750e-14
3.238476953907815528e+02,1.127893009539221780e-13,9.203521463411395699e-14
3.272545090180360603e+02,1.121692448954263457e-13,9.265312715561341606e-14
3.306613226452905678e+02,1.115643591823567196e-13,9.325525652453019516e-14
3.340681362725450754e+02,1.109746121589252391e-13,9.383742528121645238e-14
3.374749498997995829e+02,1.104004524183591873e-13,9.439598173257949595e-14
3.408817635270540904e+02,1.098427028692950515e-13,9.492794640686166015e-14
3.442885771543085980e+02,1.093024489643678404e-13,9.543110745574443262e-14
3.476953907815631055e+02,1.087809267570597278e-13,9.590406738893385299e-14
3.511022044088176131e+02,1.082626635705096634e-13,9.635816846830456979e-14
3.545090180360721206e+02,1.077325281180276628e-13,9.680598100052855329e-14
3.579158316633266281e+02,1.072275164527351686e-13,9.722326503435092951e-14
3.613226452905811357e+02,1.067483185164450955e-13,9.761167320859714676e-14
3.647294589178357000e+02,1.062952879102394824e-13,9.797334201027318000e-14
3.681362725450901507e+02,1.058684064619162575e-13,9.831075883448508789e-14
3.715430861723447151e+02,1.054672676889648083e-13,9.862662448555392828e-14
3.749498997995991658e+02,1.050910788388547869e-13,9.892371706792047214e-14
3.783567134268537302e+02,1.047386807880939697e-13,9.920476211875788211e-14
3.817635270541081809e+02,1.044085848315348434e-13,9.947231260763511146e-14
3.851703406813627453e+02,1.040990253001823987e-13,9.972864107587498317e-14
3.885771543086171960e+02,1.038080270051178741e-13,9.997564501749693675e-14
3.919839679358717603e+02,1.035334867042345251e-13,1.002147653464945594e-13
3.953907815631262679e+02,1.032732681086509767e-13,1.004469168453915016e-13
3.987975951903807754e+02,1.030253103657192377e-13,1.006724286368678750e-13
4.022044088176352830e+02,1.027634340391027835e-13,1.009449917066560083e-13
4.056112224448897905e+02,1.024861408493831860e-13,1.012455878649537499e-13
4.090180360721442980e+02,1.022010123536897913e-13,1.015453021050303865e-13
4.124248496993988056e+02,1.019043833829125909e-13,1.018428304436052582e-13
4.158316633266533131e+02,1.015925508856111683e-13,1.021363091661635496e-13
4.192384769539078206e+02,1.012618418779391344e-13,1.024232971619835499e-13
4.226452905811623282e+02,1.009086867714909004e-13,1.027007555961507343e-13
4.260521042084168357e+02,1.005296986661906925e-13,1.029650229428808494e-13
4.294589178356713433e+02,1.001217592159054102e-13,1.032117834515637956e-13
4.328657314629258508e+02,9.968211165489261104e-14,1.034360271237435122e-13
4.362725450901803583e+02,9.920846152885933727e-14,1.036319992217536179e-13
4.396793587174348659e+02,9.869908562866055265e-14,1.037931371818635028e-13
4.430861723446893734e+02,9.815294961172506293e-14,1.039119925376282740e-13
4.464929859719438809e+02,9.756983486561808040e-14,1.039801350415979577e-13
4.498997995991983885e+02,9.695047539109891245e-14,1.039880355758787988e-13
