wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,4.111393260529351839e-16,2.130178260167063535e-15
3.034068136272545075e+02,3.838520043630279505e-16,2.064594161667659377e-15
3.068136272545090151e+02,3.586953358590924449e-16,1.999816152171855680e-15
3.102204408817635226e+02,3.354963354539012443e-16,1.935924985272604296e-15
3.136272545090180301e+02,3.140956995135562701e-16,1.872991017064278107e-15
3.170340681362725377e+02,2.943468561891809586e-16,1.811075064658449199e-15
3.204408817635270452e+02,2.761150521031566600e-16,1.750229211169055365e-15
3.238476953907815528e+02,2.592764808832397184e-16,1.690497558827816004e-15
3.272545090180360603e+02,2.437174570030522493e-16,1.631916932051796509e-15
3.306613226452905678e+02,2.293336368003940785e-16,1.574517532403252762e-15
3.340681362725450754e+02,2.160292873211235583e-16,1.518323547467132052e-15
3.374749498997995829e+02,2.037166027063214228e-16,1.463353715730579591e-15
3.408817635270540904e+02,1.923150671462855309e-16,1.409621849585669426e-15
3.442885771543085980e+02,1.817508629194190886e-16,1.357137318594830754e-15
3.476953907815631055e+02,1.719563216784891863e-16,1.305905495160142488e-15
3.511022044088176131e+02,1.627903303081359655e-16,1.255525755294659552e-15
3.545090180360721206e+02,1.541318152055240719e-16,1.205516410568114914e-15
3.579158316633266281e+02,1.461029217818716560e-16,1.156702289378240565e-15
3.613226452905811357e+02,1.386529949337079239e-16,1.109087215737672659e-15
3.647294589178357000e+02,1.317355706744523645e-16,1.062671928662541770e-15
3.681362725450901507e+02,1.253080298437955258e-16,1.017454385930775795e-15
3.715430861723447151e+02,1.193312791980875880e-16,9.734300449265457244e-16
3.749498997995991658e+02,1.137694580218865334e-16,9.305921216658539562e-16
3.783567134268537302e+02,1.085896684659583578e-16,8.889318291463109951e-16
3.817635270541081809e+02,1.037617278931258428e-16,8.484385961934099719e-16
3.851703406813627453e+02,9.925794159667436458e-17,8.091002679878922513e-16
3.885771543086171960e+02,9.505289434376173219e-17,7.709032894566854255e-16
3.919839679358717603e+02,9.112325928607283866e-17,7.338328726948482592e-16
3.953907815631262679e+02,8.744762287005385454e-17,6.978731495606047351e-16
3.987975951903807754e+02,8.400632446811888364e-17,6.630073105510304758e-16
4.022044088176352830e+02,8.071442594536914726e-17,6.325677894334543422e-16
4.056112224448897905e+02,7.757666281104465491e-17,6.047546031489977158e-16
4.090180360721442980e+02,7.461474139928579076e-17,5.776718885658861090e-16
4.124248496993988056e+02,7.181707490134862781e-17,5.513072382818116277e-16
4.158316633266533131e+02,6.917289843336711446e-17,5.256482036614458275e-16
4.192384769539078206e+02,6.667220762669171819e-17,5.006823157126950634e-16
4.226452905811623282e+02,6.430570200683702393e-17,4.763971039070954758e-16
4.260521042084168357e+02,6.206473277727982828e-17,4.527801131167371875e-16
4.294589178356713433e+02,5.994125465517170569e-17,4.298189188275091815e-16
4.328657314629258508e+02,5.792778143444527340e-17,4.075011407768789531e-16
4.362725450901803583e+02,5.601734497805387078e-17,3.858144551537568675e-16
4.396793587174348659e+02,5.420345736521983995e-17,3.647466054880621092e-16
4.430861723446893734e+02,5.248007594184520284e-17,3.442854123484422256e-16
4.464929859719438809e+02,5.084157104268864034e-17,3.244187819579139418e-16
4.498997995991983885e+02,4.928269617273995941e-17,3.051347138291797731e-16
4.533066132264528960e+02,4.766430936409170665e-17,2.927080875294006257e-16
4.567134268537074036e+02,4.611169875225061516e-17,2.807482336797676139e-16
4.601202404809619111e+02,4.462539180321973562e-17,2.690527719615790103e-16
4.635270541082164186e+02,4.320206183878159913e-17,2.576144047061159389e-16
4.669338677354709262e+02,4.183857071767895757e-17,2.464261366496304741e-16
4.703406813627254337e+02,4.053195695054227071e-17,2.354812601883760422e-16
4.737474949899799412e+02,3.927942463806127290e-17,2.247733413654027003e-16
4.771543086172344488e+02,3.807833317051724229e-17,2.142962065558472096e-16
4.805611222444889563e+02,3.692618763179076281e-17,2.040439298183437641e-16
4.839679358717435207e+02,3.582062985549514617e-17,1.940108208810368578e-16
4.873747494989979714e+02,3.475943008508028884e-17,1.841914137317148285e-16
4.907815631262525358e+02,3.374047919354829221e-17,1.745804557826297775e-16
4.941883767535069865e+02,3.276178142194058007e-17,1.651728975816656180e-16
4.975951903807615508e+02,3.182144759895045636e-17,1.559638830426314978e-16
5.010020040080160015e+02,3.090577948963477836e-17,1.478287881007397408e-16
5.044088176352705659e+02,2.999660956212070424e-17,1.419426263994417019e-16
5.078156312625250166e+02,2.912107219274936110e-17,1.361610169338683182e-16
5.112224448897795810e+02,2.827770389972089510e-17,1.304807376971025597e-16
5.146292585170340317e+02,2.746511434138944797e-17,1.248987090671016514e-16
5.180360721442885961e+02,2.668198218476042510e-17,1.194119864960713929e-16
5.214428857715430468e+02,2.592705123414264860e-17,1.140177536279793275e-16
5.248496993987976111e+02,2.519912680190963511e-17,1.087133158162036280e-16
5.282565130260520618e+02,2.449707230469700408e-17,1.034960940153531548e-16
5.316633266533066262e+02,2.381980606960186050e-17,9.836361902045350330e-17
5.350701402805610769e+02,2.316629833611615116e-17,9.331352604723799715e-17
5.384769539078156413e+02,2.253556844057115106e-17,8.834354959160790357e-17
5.418837675350700920e+02,2.192668217085231312e-17,8.345151860450831531e-17
5.452905811623246564e+02,2.133874928003526861e-17,7.863535192172211684e-17
5.486973947895791071e+02,2.077092114841950616e-17,7.389305394903291818e-17
5.521042084168336714e+02,2.020792932131357138e-17,7.090660268065684888e-17
5.555110220440881221e+02,1.965483239112876250e-17,6.899726049868707387e-17
5.589178356713426865e+02,1.911991964076969706e-17,6.711320710898538587e-17
5.623246492985972509e+02,1.860248636955719382e-17,6.525354983788842042e-17
5.657314629258517016e+02,1.810185947517170433e-17,6.341743184741411049e-17
5.691382765531061523e+02,1.761739584206555587e-17,6.160403036035706696e-17
5.725450901803607167e+02,1.714848082206978133e-17,5.981255498835110114e-17
5.759519038076152810e+02,1.669452680134199096e-17,5.804224615604901285e-17
5.793587174348697317e+02,1.625497184821963043e-17,5.629237361514061940e-17
5.827655310621241824e+02,1.582927843691206158e-17,5.456223504231977817e-17
5.861723446893787468e+02,1.541693224231612350e-17,5.285115471582292922e-17
5.895791583166333112e+02,1.501744100156020502e-17,5.115848226547561974e-17
5.929859719438877619e+02,1.463033343818397170e-17,4.948359149160428071e-17
5.963927855711422126e+02,1.425515824513167608e-17,4.782587924845669108e-17
5.997995991983967770e+02,1.389148312299481453e-17,4.618476438813180199e-17
6.032064128256513413e+02,1.352562091582920436e-17,4.531064062774280644e-17
6.066132264529057920e+02,1.317009963502043412e-17,4.449153091866293058e-17
6.100200400801602427e+02,1.282536405681823074e-17,4.367993847334574762e-17
6.134268537074148071e+02,1.249103092388264900e-17,4.287554115801535013e-17
6.168336673346693715e+02,1.216673271297711753e-17,4.207802778073177190e-17
6.202404809619238222e+02,1.185211690063346537e-17,4.128709757876754579e-17
6.236472945891782729e+02,1.154684526726958956e-17,4.050245973348318243e-17
6.270541082164328373e+02,1.125059323752718915e-17,3.972383291103058974e-17
6.304609218436874016e+02,1.096304925473742441e-17,3.895094482729232708e-17
6.338677354709418523e+02,1.068391418755390035e-17,3.818353183560465992e-17
6.372745490981963030e+02,1.041290076692110984e-17,3.742133853588938737e-17
6.406813627254508674e+02,1.014973305165331330e-17,3.666411740393929091e-17
6.440881763527054318e+02,9.894145921016085595e-18,3.591162843964847838e-17
6.474949899799598825e+02,9.645884592792237924e-18,3.516363883309023747e-17
6.509018036072143332e+02,9.408743011956185862e-18,3.447986679845984696e-17
6.543086172344688975e+02,9.189311041059775741e-18,3.396737360107074489e-17
6.577154308617234619e+02,8.975952510598922425e-18,3.345990242963286591e-17
6.611222444889779126e+02,8.768469582301985594e-18,3.295731522177037692e-17
6.645290581162324770e+02,8.566671864638377963e-18,3.245947807947345955e-17
6.679358717434870414e+02,8.370376094336568382e-18,3.196626110876807506e-17
6.713426853707414921e+02,8.179405833166036551e-18,3.147753826667187041e-17
6.747494989979959428e+02,7.993591179170174978e-18,3.099318721500449680e-17
6.781563126252505072e+02,7.812768491589098497e-18,3.051308918073388724e-17
6.815631262525050715e+02,7.636780128752573529e-18,3.003712882251462396e-17
6.849699398797595222e+02,7.465474198266435509e-18,2.956519410308993341e-17
6.883767535070139729e+02,7.298704318851340082e-18,2.909717616728322937e-17
6.917835671342685373e+02,7.136329393236409187e-18,2.863296922527162814e-17
6.951903807615231017e+02,6.978213391535014326e-18,2.817247044091903893e-17
6.985971943887775524e+02,6.824225144569370816e-18,2.771557982485664693e-17
7.020040080160320031e+02,6.675610689330261511e-18,2.730753516699567868e-17
7.054108216432865675e+02,6.531770166992033885e-18,2.693452795990937356e-17
7.088176352705411318e+02,6.391610433608661392e-18,2.656471365383684409e-17
7.122244488977955825e+02,6.255020675188990538e-18,2.619801559547021752e-17
7.156312625250500332e+02,6.121893931063189990e-18,2.583435917783885671e-17
7.190380761523045976e+02,5.992126941701420909e-18,2.547367177038392217e-17
7.224448897795591620e+02,5.865620003266923450e-18,2.511588265184643725e-17
7.258517034068136127e+02,5.742276828569482323e-18,2.476092294583605688e-17
7.292585170340680634e+02,5.622004414109256754e-18,2.440872555899290826e-17
7.326653306613226277e+02,5.504712912915931635e-18,2.405922512157114837e-17
7.360721442885771921e+02,5.390315512901247592e-18,2.371235793036377425e-17
7.394789579158316428e+02,5.278728320463571278e-18,2.336806189388051566e-17
7.428857715430860935e+02,5.169870249090209964e-18,2.302627647962501592e-17
7.462925851703406579e+02,5.063662912722017785e-18,2.268694266342897690e-17
7.496993987975952223e+02,4.960030523654237228e-18,2.235000288072202380e-17
7.531062124248496730e+02,4.857337705976911537e-18,2.208451045731001724e-17
7.565130260521041237e+02,4.756976746506206292e-18,2.182749317469534975e-17
7.599198396793586880e+02,4.659030973506637958e-18,2.157219547402461746e-17
7.633266533066132524e+02,4.563432373980398924e-18,2.131857403434825521e-17
7.667334669338677031e+02,4.470115142784243889e-18,2.106658656195103078e-17
7.701402805611221538e+02,4.379015601313142306e-18,2.081619175768039061e-17
7.735470941883767182e+02,4.290072119537542609e-18,2.056734928550842987e-17
7.769539078156312826e+02,4.203225041239399629e-18,2.032001974226807277e-17
