wavelength_nm,sigma_sca_m2,sigma_abs_m2
4.771543086172344488e+02,5.768193080369414684e-14,5.417837186732029679e-14
4.805611222444889563e+02,5.954266782386463002e-14,5.394411915513879769e-14
4.839679358717435207e+02,6.157532421216104549e-14,5.359678986260389789e-14
4.873747494989979714e+02,6.378559303790723112e-14,5.312564539390860364e-14
4.907815631262525358e+02,6.617792516048773357e-14,5.252181260526622253e-14
4.941883767535069865e+02,6.875521879552514357e-14,5.177860919625732123e-14
4.975951903807615508e+02,7.151848732812641152e-14,5.089169536205025172e-14
5.010020040080160015e+02,7.439836437793766344e-14,4.987294259027017079e-14
5.044088176352705659e+02,7.721709728946278738e-14,4.879912108479945326e-14
5.078156312625250166e+02,8.008054100470925510e-14,4.767843335796962640e-14
5.112224448897795810e+02,8.297040181858857547e-14,4.652304185172805977e-14
5.146292585170340317e+02,8.586840447701308345e-14,4.534354342720897874e-14
5.180360721442885961e+02,8.875687446947833706e-14,4.414892605931951046e-14
5.214428857715430468e+02,9.161932405442183556e-14,4.294666117438655512e-14
5.248496993987976111e+02,9.444101569344555314e-14,4.174286941069235474e-14
5.282565130260520618e+02,9.720948136253152584e-14,4.054250787836566929e-14
5.316633266533066262e+02,9.991498263985621220e-14,3.934954150885889668e-14
5.350701402805610769e+02,1.025509038072783436e-13,3.816707547626658577e-14
5.384769539078156413e+02,1.051140778284106653e-13,3.699743740571705879e-14
5.418837675350700920e+02,1.076050525111021754e-13,3.584220615458604346e-14
5.452905811623246564e+02,1.100283111276835308e-13,3.470218837371690615e-14
5.486973947895791071e+02,1.123924681445978870e-13,3.357734535530284336e-14
5.521042084168336714e+02,1.140244605214394389e-13,3.300276354569889765e-14
5.555110220440881221e+02,1.151739914787834099e-13,3.284504340423077731e-14
5.589178356713426865e+02,1.162801573173301675e-13,3.279041983946499304e-14
5.623246492985972509e+02,1.173649538594760755e-13,3.284056715331173512e-14
5.657314629258517016e+02,1.184505903310671731e-13,3.299745926742350110e-14
5.691382765531061523e+02,1.195592728864682955e-13,3.326327529548948471e-14
5.725450901803607167e+02,1.207129416889479400e-13,3.364025153537106954e-14
5.759519038076152810e+02,1.219329177355646194e-13,3.413045852580227539e-14
5.793587174348697317e+02,1.232394041607502072e-13,3.473547563617461719e-14
5.827655310621241824e+02,1.246507728183503851e-13,3.545592857536509401e-14
5.861723446893787468e+02,1.261825513717887814e-13,3.629084799168581112e-14
5.895791583166333112e+02,1.278460114170785083e-13,3.723680177793406718e-14
5.929859719438877619e+02,1.296462497284696982e-13,3.828675326514498965e-14
5.963927855711422126e+02,1.315796626158406649e-13,3.942860822762732281e-14
5.997995991983967770e+02,1.336307543567174085e-13,4.064344502908212315e-14
6.032064128256513413e+02,1.351372582080805487e-13,4.238590569150597973e-14
6.066132264529057920e+02,1.364553877878407477e-13,4.415262212966593908e-14
6.100200400801602427e+02,1.374980363765701317e-13,4.583729211440428637e-14
6.134268537074148071e+02,1.381229908934191050e-13,4.734769293181810854e-14
6.168336673346693715e+02,1.381781161812567432e-13,4.858059379629603311e-14
6.202404809619238222e+02,1.375180290407031516e-13,4.943106336312311452e-14
6.236472945891782729e+02,1.360254331211393335e-13,4.980553162725269039e-14
6.270541082164328373e+02,1.336329818192074824e-13,4.963641153398483739e-14
6.304609218436874016e+02,1.303397324339337802e-13,4.889465286999038587e-14
6.338677354709418523e+02,1.262165881293823011e-13,4.759635063785460235e-14
6.372745490981963030e+02,1.213981297246058697e-13,4.580100922326504092e-14
6.406813627254508674e+02,1.160627889478790726e-13,4.360180188487461360e-14
6.440881763527054318e+02,1.104071078081421836e-13,4.111080314070369391e-14
6.474949899799598825e+02,1.046209865370144856e-13,3.844338636392472890e-14
6.509018036072143332e+02,9.903398570736840949e-14,3.584702527293569922e-14
6.543086172344688975e+02,9.405393893472699008e-14,3.364874102893094357e-14
