xy_axis1_nm,xy_axis2_nm,|E/E0|^2
-1.312500000000000000e+02,-1.312500000000000000e+02,7.774907124214494036e-01
-1.296093750000000000e+02,-1.312500000000000000e+02,7.777515889195633081e-01
-1.279687500000000000e+02,-1.312500000000000000e+02,7.779272881119787542e-01
-1.263281250000000000e+02,-1.312500000000000000e+02,7.780101080976876693e-01
-1.246875000000000000e+02,-1.312500000000000000e+02,7.779920914850330105e-01
-1.230468750000000000e+02,-1.312500000000000000e+02,7.778650294997494496e-01
-1.214062500000000000e+02,-1.312500000000000000e+02,7.776204675801448030e-01
-1.197656250000000000e+02,-1.312500000000000000e+02,7.772497126002939627e-01
-1.181250000000000000e+02,-1.312500000000000000e+02,7.767438418684901036e-01
-1.164843750000000000e+02,-1.312500000000000000e+02,7.760937140540591361e-01
-1.148437500000000000e+02,-1.312500000000000000e+02,7.752899822009259312e-01
-1.132031250000000000e+02,-1.312500000000000000e+02,7.743231089908217957e-01
-1.115625000000000000e+02,-1.312500000000000000e+02,7.731833844225717289e-01
-1.099218750000000000e+02,-1.312500000000000000e+02,7.718609460763355967e-01
-1.082812500000000000e+02,-1.312500000000000000e+02,7.703458021327136418e-01
-1.066406250000000000e+02,-1.312500000000000000e+02,7.686278573160968408e-01
-1.050000000000000000e+02,-1.312500000000000000e+02,7.666969419292584131e-01
-1.033593750000000000e+02,-1.312500000000000000e+02,7.645428441416756149e-01
-1.017187500000000000e+02,-1.312500000000000000e+02,7.621553456872020016e-01
-1.000781250000000000e+02,-1.312500000000000000e+02,7.595242611170912594e-01
-9.843750000000000000e+01,-1.312500000000000000e+02,7.566394807418076462e-01
-9.679687500000000000e+01,-1.312500000000000000e+02,7.534910173791622423e-01
-9.515625000000000000e+01,-1.312500000000000000e+02,7.500690570067948260e-01
-9.351562500000000000e+01,-1.312500000000000000e+02,7.463640133935629528e-01
-9.187500000000000000e+01,-1.312500000000000000e+02,7.423665867567573740e-01
-9.023437500000000000e+01,-1.312500000000000000e+02,7.380678264598534710e-01
-8.859375000000000000e+01,-1.312500000000000000e+02,7.334591977286281095e-01
-8.695312500000000000e+01,-1.312500000000000000e+02,7.285326523215571726e-01
-8.531250000000000000e+01,-1.312500000000000000e+02,7.232807030434588169e-01
-8.367187500000000000e+01,-1.312500000000000000e+02,7.176965019391333689e-01
-8.203125000000000000e+01,-1.312500000000000000e+02,7.117739219463468103e-01
-8.039062500000000000e+01,-1.312500000000000000e+02,7.055076417249540599e-01
-7.875000000000000000e+01,-1.312500000000000000e+02,6.988932333114270534e-01
-7.710937500000000000e+01,-1.312500000000000000e+02,6.919272521758970118e-01
