wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,9.946161872520760396e-14,7.580273944609933537e-14
3.034068136272545075e+02,9.873847134542341697e-14,7.645871236392601071e-14
3.068136272545090151e+02,9.802448532314915986e-14,7.709562430434220897e-14
3.102204408817635226e+02,9.732106485146955763e-14,7.770844066949133862e-14
3.136272545090180301e+02,9.663027299319630396e-14,7.829295968459951084e-14
3.170340681362725377e+02,9.595464322853877339e-14,7.884598672123879217e-14
3.204408817635270452e+02,9.529698827539141259e-14,7.936543294546238746e-14
3.238476953907815528e+02,9.466021553256668964e-14,7.985034320311847126e-14
3.272545090180360603e+02,9.404715675477981212e-14,8.030086072053855109e-14
3.306613226452905678e+02,9.346041785354012278e-14,8.071813840418996495e-14
3.340681362725450754e+02,9.290225298698173014e-14,8.110420813381674976e-14
3.374749498997995829e+02,9.237446537156152575e-14,8.146182032902333301e-14
3.408817635270540904e+02,9.187833558503820411e-14,8.179426615621311392e-14
3.442885771543085980e+02,9.141457662362364668e-14,8.210519404583103633e-14
3.476953907815631055e+02,9.098331371653573687e-14,8.239843081148604154e-14
3.511022044088176131e+02,9.057006965077472232e-14,8.268820817911396700e-14
3.545090180360721206e+02,9.016004242528926147e-14,8.298922683828076477e-14
3.579158316633266281e+02,8.978155573552461954e-14,8.328308519219134934e-14
3.613226452905811357e+02,8.943226003895806685e-14,8.357292886441094136e-14
3.647294589178357000e+02,8.910931430150650860e-14,8.386145339224913764e-14
3.681362725450901507e+02,8.880944187964181473e-14,8.415085439220141959e-14
3.715430861723447151e+02,8.852898817164866882e-14,8.444279905471074641e-14
3.749498997995991658e+02,8.826397857469203343e-14,8.473841562741048844e-14
3.783567134268537302e+02,8.801017593112912519e-14,8.503829721938097479e-14
3.817635270541081809e+02,8.776313722084787695e-14,8.534251620861961222e-14
3.851703406813627453e+02,8.751826973672847524e-14,8.565064568485158639e-14
3.885771543086171960e+02,8.727088736126604729e-14,8.596178463665107826e-14
3.919839679358717603e+02,8.701626784757029521e-14,8.627458393117048763e-14
3.953907815631262679e+02,8.674971220764279140e-14,8.658727048415699332e-14
3.987975951903807754e+02,8.646660743914173348e-14,8.689766733773456297e-14
4.022044088176352830e+02,8.617102490676168856e-14,8.724495322417415062e-14
4.056112224448897905e+02,8.585780395933676108e-14,8.761513810481285732e-14
4.090180360721442980e+02,8.551932170299542823e-14,8.798551231352502905e-14
4.124248496993988056e+02,8.515206462782574572e-14,8.835458084239152247e-14
4.158316633266533131e+02,8.475254366479029607e-14,8.872082088886702704e-14
4.192384769539078206e+02,8.431730017987071914e-14,8.908270275743483580e-14
4.226452905811623282e+02,8.384291077673478059e-14,8.943870489439537512e-14
4.260521042084168357e+02,8.332599138064976489e-14,8.978732222604703629e-14
4.294589178356713433e+02,8.276320120541408186e-14,9.012706681464782290e-14
4.328657314629258508e+02,8.215124739331700232e-14,9.045645960657999007e-14
4.362725450901803583e+02,8.148689138087016056e-14,9.077401169819095391e-14
4.396793587174348659e+02,8.076695840160451581e-14,9.107819305200448019e-14
4.430861723446893734e+02,7.998835202261507886e-14,9.136738591271650106e-14
4.464929859719438809e+02,7.914807626967635555e-14,9.163981923780579515e-14
4.498997995991983885e+02,7.824326879467609260e-14,9.189347920507909533e-14
4.533066132264528960e+02,7.757194165959085112e-14,9.240516468552465212e-14
4.567134268537074036e+02,7.691247950379838012e-14,9.294506203922558796e-14
4.601202404809619111e+02,7.626441083266484563e-14,9.350437959239250264e-14
4.635270541082164186e+02,7.563661563060342060e-14,9.408119893285291095e-14
4.669338677354709262e+02,7.503929358555356100e-14,9.467249351675819304e-14
4.703406813627254337e+02,7.448403265802632508e-14,9.527396114357019266e-14
4.737474949899799412e+02,7.398384912781634182e-14,9.587982443977783551e-14
4.771543086172344488e+02,7.355319069933168596e-14,9.648258361199680550e-14
4.805611222444889563e+02,7.320789286833619171e-14,9.707270457169926377e-14
4.839679358717435207e+02,7.296507563967040796e-14,9.763822649725840070e-14
4.873747494989979714e+02,7.284296133735827091e-14,9.816427604368294704e-14
4.907815631262525358e+02,7.286058269001842686e-14,9.863247978760662297e-14
4.941883767535069865e+02,7.303733136523369261e-14,9.902026981014942058e-14
4.975951903807615508e+02,7.339226875408532795e-14,9.930007640811456642e-14
5.010020040080160015e+02,7.405006694833105395e-14,9.945798051056920309e-14
5.044088176352705659e+02,7.511336696192956104e-14,9.947382203498525945e-14
5.078156312625250166e+02,7.626569308316724381e-14,9.925988243313039763e-14
5.112224448897795810e+02,7.745998839069349331e-14,9.878186264771824240e-14
5.146292585170340317e+02,7.863906480431745254e-14,9.800844628187774057e-14
5.180360721442885961e+02,7.973835286502741012e-14,9.691532946663563001e-14
5.214428857715430468e+02,8.069078462550830214e-14,9.549022515001253742e-14
5.248496993987976111e+02,8.143358114166792531e-14,9.373787122927140156e-14
5.282565130260520618e+02,8.191605386111127787e-14,9.168361071435457089e-14
5.316633266533066262e+02,8.210696966823194298e-14,8.937413127394571620e-14
5.350701402805610769e+02,8.199987986114057651e-14,8.687458504050923295e-14
5.384769539078156413e+02,8.161524687002057590e-14,8.426236873781342747e-14
5.418837675350700920e+02,8.099910448808114701e-14,8.161887285553733300e-14
5.452905811623246564e+02,8.021898381794442517e-14,7.902104103292654545e-14
5.486973947895791071e+02,7.935851277919626601e-14,7.653442322489122665e-14
5.521042084168336714e+02,7.849987582179050625e-14,7.518895987388372529e-14
5.555110220440881221e+02,7.791341975570710324e-14,7.485968331809061210e-14
5.589178356713426865e+02,7.773925194572231895e-14,7.499654769502312925e-14
5.623246492985972509e+02,7.806170499479552472e-14,7.559913148787233917e-14
5.657314629258517016e+02,7.895876158090569839e-14,7.666700486258235461e-14
5.691382765531061523e+02,8.050374878348254448e-14,7.820193207756976871e-14
5.725450901803607167e+02,8.276568561604463967e-14,8.020829728255557826e-14
5.759519038076152810e+02,8.580787896589976381e-14,8.269120411145696770e-14
5.793587174348697317e+02,8.968421973465259923e-14,8.565112546345299162e-14
5.827655310621241824e+02,9.443237652710928013e-14,8.907321586819400965e-14
5.861723446893787468e+02,1.000628497247289148e-13,9.290867482844738822e-14
5.895791583166333112e+02,1.065430104080887340e-13,9.704563321687847204e-14
5.929859719438877619e+02,1.137766665275120980e-13,1.012697648760905932e-13
5.963927855711422126e+02,1.215837648564641409e-13,1.052232773399546235e-13
5.997995991983967770e+02,1.296923797109223139e-13,1.083871845607624386e-13
6.032064128256513413e+02,1.375574722396896656e-13,1.101945229779155250e-13
6.066132264529057920e+02,1.447000474168199682e-13,1.095163201730456798e-13
6.100200400801602427e+02,1.510346099492219996e-13,1.062366266574668811e-13
6.134268537074148071e+02,1.567153715048716046e-13,1.008201044819878789e-13
6.168336673346693715e+02,1.620231624359220613e-13,9.408162208348391244e-14
6.202404809619238222e+02,1.672173793028726982e-13,8.685919086046380513e-14
6.236472945891782729e+02,1.724498692720687905e-13,7.978689372646116603e-14
6.270541082164328373e+02,1.777584903536208464e-13,7.323618569759864522e-14
6.304609218436874016e+02,1.831036462794623537e-13,6.736530520946436874e-14
6.338677354709418523e+02,1.884103078944039850e-13,6.219799640769916608e-14
6.372745490981963030e+02,1.935983702669174927e-13,5.768890774494353500e-14
6.406813627254508674e+02,1.985993528229340140e-13,5.376551624546123388e-14
6.440881763527054318e+02,2.033631465447979236e-13,5.035080967978012304e-14
6.474949899799598825e+02,2.078589524474814083e-13,4.737371809771504283e-14
6.509018036072143332e+02,2.118801102093035993e-13,4.491916608745129424e-14
6.543086172344688975e+02,2.151367005823726061e-13,4.314376381576147608e-14
6.577154308617234619e+02,2.182015983403163583e-13,4.157869167894245945e-14
6.611222444889779126e+02,2.210837323630912809e-13,4.020082027803436597e-14
6.645290581162324770e+02,2.237957823967834343e-13,3.899106342735924625e-14
6.679358717434870414e+02,2.263531915004427581e-13,3.793368048441644946e-14
6.713426853707414921e+02,2.287733877897890559e-13,3.701569464902643218e-14
6.747494989979959428e+02,2.310751859530149969e-13,3.622641942011200403e-14
6.781563126252505072e+02,2.332783379325937420e-13,3.555707836820427749e-14
6.815631262525050715e+02,2.354032039414210727e-13,3.500050196840805849e-14
6.849699398797595222e+02,2.374705178711954649e-13,3.455088630800027697e-14
6.883767535070139729e+02,2.395012242188743641e-13,3.420360043278263959e-14
6.917835671342685373e+02,2.415163664064963897e-13,3.395503114708211203e-14
6.951903807615231017e+02,2.435370085405788616e-13,3.380245588296959882e-14
6.985971943887775524e+02,2.455841741127139284e-13,3.374393566863851739e-14
7.020040080160320031e+02,2.475874583698037539e-13,3.382330248785543896e-14
7.054108216432865675e+02,2.495857502695343288e-13,3.402294947790687008e-14
7.088176352705411318e+02,2.516581074183690149e-13,3.431069325550554941e-14
7.122244488977955825e+02,2.538211007348216883e-13,3.468726071621449258e-14
7.156312625250500332e+02,2.560906036741222312e-13,3.515368746938576840e-14
7.190380761523045976e+02,2.584815165230260690e-13,3.571121439226568813e-14
7.224448897795591620e+02,2.610073941221301758e-13,3.636116070441620590e-14
7.258517034068136127e+02,2.636799530054685811e-13,3.710476546859718726e-14
7.292585170340680634e+02,2.665084312446321062e-13,3.794298836293310355e-14
7.326653306613226277e+02,2.694987725015277305e-13,3.887625964036467346e-14
7.360721442885771921e+02,2.726526059997269176e-13,3.990416868911160178e-14
7.394789579158316428e+02,2.759659979064146520e-13,4.102508098511016073e-14
7.428857715430860935e+02,2.794279592017428052e-13,4.223567514365619134e-14
7.462925851703406579e+02,2.830187134201164583e-13,4.353039613384334433e-14
7.496993987975952223e+02,2.867077581769312364e-13,4.490082865154577985e-14
7.531062124248496730e+02,2.903778405016478383e-13,4.648533067583080133e-14
7.565130260521041237e+02,2.940017834183663582e-13,4.813822366043775314e-14
7.599198396793586880e+02,2.974966420139549679e-13,4.982075872197371583e-14
7.633266533066132524e+02,3.007539809056316772e-13,5.150180378577392078e-14
7.667334669338677031e+02,3.036463363936656508e-13,5.314339945200530316e-14
7.701402805611221538e+02,3.060298217841085398e-13,5.470104950437941512e-14
7.735470941883767182e+02,3.077492706148270006e-13,5.612477196044391166e-14
7.769539078156312826e+02,3.086462113190236142e-13,5.736106774956079999e-14
7.803607214428857333e+02,3.085695371845341478e-13,5.835585305905065527e-14
7.837675350701401840e+02,3.073881316399101887e-13,5.905822405846176925e-14
7.871743486973947483e+02,3.050040422148705945e-13,5.942470398120114121e-14
7.905811623246493127e+02,3.013642633553421917e-13,5.942341756989926796e-14
7.939879759519037634e+02,2.964690184999836369e-13,5.903752104944388770e-14
7.973947895791582141e+02,2.903747903185767304e-13,5.826725252670200750e-14
8.008016032064127785e+02,2.834050219440229362e-13,5.719868825866735961e-14
8.042084168336673429e+02,2.763144899085668538e-13,5.606073911272231249e-14
8.076152304609217936e+02,2.686209128322842097e-13,5.468882708804534761e-14
8.110220440881763579e+02,2.604594178743864587e-13,5.311718385632588106e-14
8.144288577154308086e+02,2.519679351960472428e-13,5.138334416765341026e-14
8.178356713426853730e+02,2.432799676900993938e-13,4.952585440200925388e-14
8.212424849699398237e+02,2.345187839458771860e-13,4.758225862561459253e-14
8.246492985971943881e+02,2.257933343500874156e-13,4.558750652907875930e-14
8.280561122244488388e+02,2.171959090928578361e-13,4.357284300719963381e-14
8.314629258517034032e+02,2.088013454059950352e-13,4.156516723797989032e-14
8.348697394789578539e+02,2.006674675956090172e-13,3.958679926963294814e-14
8.382765531062124182e+02,1.928364009100308805e-13,3.765556594617319056e-14
8.416833667334668689e+02,1.853364185342844820e-13,3.578511179377169809e-14
8.450901803607214333e+02,1.781840355919557362e-13,3.398534812424767545e-14
8.484969939879758840e+02,1.713861334661481810e-13,3.226296884370018831e-14
8.519038076152304484e+02,1.650864969915848354e-13,3.069737073718035983e-14
8.553106212424848991e+02,1.592270953248104796e-13,2.926513950212086732e-14
8.587174348697394635e+02,1.536778922245109075e-13,2.790444945885541663e-14
8.621242484969939142e+02,1.484265333443695582e-13,2.661456189539074447e-14
8.655310621242484785e+02,1.434590619915644706e-13,2.539390914205880336e-14
8.689378757515029292e+02,1.387605895096464228e-13,2.424031595387454177e-14
8.723446893787574936e+02,1.343158168342033661e-13,2.315118136853352157e-14
