wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.919839679358717603e+02,3.700450390605532173e-14,3.858304990642211159e-14
3.953907815631262679e+02,3.731355566912676847e-14,3.872184185039034037e-14
3.987975951903807754e+02,3.765733498860885561e-14,3.887071086519883075e-14
4.022044088176352830e+02,3.803696336679922892e-14,3.902218688074912570e-14
4.056112224448897905e+02,3.845854633646509613e-14,3.917594305785272532e-14
4.090180360721442980e+02,3.892534083076946026e-14,3.933387161595027370e-14
4.124248496993988056e+02,3.944007470992085623e-14,3.949432114338334769e-14
4.158316633266533131e+02,4.000577384816742577e-14,3.965530158990663062e-14
4.192384769539078206e+02,4.062578352343147689e-14,3.981445245818207268e-14
4.226452905811623282e+02,4.130378931409773394e-14,3.996900738294037913e-14
4.260521042084168357e+02,4.204383697550203838e-14,4.011575515537225574e-14
4.294589178356713433e+02,4.285035056188682444e-14,4.025099735563581555e-14
4.328657314629258508e+02,4.372814780297373977e-14,4.037050287891014787e-14
4.362725450901803583e+02,4.468245142837280782e-14,4.046945978004963151e-14
4.396793587174348659e+02,4.571889474770393357e-14,4.054242501724521457e-14
4.430861723446893734e+02,4.684351932957132164e-14,4.058327284401991521e-14
4.464929859719438809e+02,4.806276206982392828e-14,4.058514277947304814e-14
4.498997995991983885e+02,4.938342829370632075e-14,4.054038827939311625e-14
4.533066132264528960e+02,5.065165545923464004e-14,4.045516821863964500e-14
4.567134268537074036e+02,5.196424732229967385e-14,4.034307070561503077e-14
4.601202404809619111e+02,5.332156901403445572e-14,4.020400861152371101e-14
4.635270541082164186e+02,5.471957622907559533e-14,4.003810366832786855e-14
4.669338677354709262e+02,5.615388437287720810e-14,3.984569125426273275e-14
4.703406813627254337e+02,5.761987591938966952e-14,3.962730824232076817e-14
4.737474949899799412e+02,5.911283523894513598e-14,3.938368382731678067e-14
4.771543086172344488e+02,6.062811131297667231e-14,3.911573262401411852e-14
4.805611222444889563e+02,6.216130811620074006e-14,3.882454825015818128e-14
4.839679358717435207e+02,6.370850195910169468e-14,3.851139464631882590e-14
4.873747494989979714e+02,6.526648486604817859e-14,3.817769160175339821e-14
4.907815631262525358e+02,6.683303325418762616e-14,3.782499036315317887e-14
4.941883767535069865e+02,6.840720192481869787e-14,3.745493475634471096e-14
4.975951903807615508e+02,6.998964484442660245e-14,3.706920284947523396e-14
5.010020040080160015e+02,7.141829019953669124e-14,3.676645572231289427e-14
5.044088176352705659e+02,7.243277428644359201e-14,3.672061594508562833e-14
5.078156312625250166e+02,7.341666675160793841e-14,3.672206983644056492e-14
5.112224448897795810e+02,7.437895053283654710e-14,3.677456777676055721e-14
5.146292585170340317e+02,7.533011881930217370e-14,3.688161572326458010e-14
