wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,1.960963138173605690e-14,1.896925612122551595e-14
3.034068136272545075e+02,1.949278219700477244e-14,1.909459741739591924e-14
3.068136272545090151e+02,1.938481775970548244e-14,1.922439993655919597e-14
3.102204408817635226e+02,1.928505375748605469e-14,1.935807898347665297e-14
3.136272545090180301e+02,1.919288906953871549e-14,1.949497327376796249e-14
3.170340681362725377e+02,1.910779723466947034e-14,1.963436304645117911e-14
3.204408817635270452e+02,1.902931748682225706e-14,1.977548621311598055e-14
3.238476953907815528e+02,1.895704574570737141e-14,1.991755273237347331e-14
3.272545090180360603e+02,1.889062584890787080e-14,2.005975740997199510e-14
3.306613226452905678e+02,1.882974123151766853e-14,2.020129132395232832e-14
3.340681362725450754e+02,1.877410719698944232e-14,2.034135206480702916e-14
3.374749498997995829e+02,1.872346387543815232e-14,2.047915296600434471e-14
3.408817635270540904e+02,1.867756993038163781e-14,2.061393148268505750e-14
3.442885771543085980e+02,1.863619704934065893e-14,2.074495685738407327e-14
3.476953907815631055e+02,1.859912523575857321e-14,2.087153719225889970e-14
3.511022044088176131e+02,1.856346213873364801e-14,2.099458128641428425e-14
3.545090180360721206e+02,1.852709996081568144e-14,2.111480145379560070e-14
3.579158316633266281e+02,1.849601629655454056e-14,2.122821463646908484e-14
3.613226452905811357e+02,1.847008052934434502e-14,2.133435578464390799e-14
3.647294589178357000e+02,1.844915271757068779e-14,2.143283187456758953e-14
3.681362725450901507e+02,1.843308354976847120e-14,2.152332788726683501e-14
3.715430861723447151e+02,1.842171527568844203e-14,2.160561262602382704e-14
3.749498997995991658e+02,1.841488364175846730e-14,2.167954434863849910e-14
3.783567134268537302e+02,1.841242086632083652e-14,2.174507616797409813e-14
3.817635270541081809e+02,1.841415969767359504e-14,2.180226114987773680e-14
3.851703406813627453e+02,1.841993860653743897e-14,2.185125701093183618e-14
3.885771543086171960e+02,1.842960817449148334e-14,2.189233028912004504e-14
3.919839679358717603e+02,1.844303875175871672e-14,2.192585982766628449e-14
3.953907815631262679e+02,1.846012947231769992e-14,2.195233937498899044e-14
3.987975951903807754e+02,1.848081873280769780e-14,2.197237906036556215e-14
4.022044088176352830e+02,1.843924755181113594e-14,2.196840465724559761e-14
4.056112224448897905e+02,1.835869076137309365e-14,2.194363930463576031e-14
4.090180360721442980e+02,1.827373403328109545e-14,2.190683070169117353e-14
4.124248496993988056e+02,1.818452999172258318e-14,2.185788279401784095e-14
4.158316633266533131e+02,1.809127728656786232e-14,2.179665239670574768e-14
4.192384769539078206e+02,1.799421872606620328e-14,2.172291993478382686e-14
4.226452905811623282e+02,1.789363824699596060e-14,2.163635609997307097e-14
4.260521042084168357e+02,1.778985662793431539e-14,2.153648443805902750e-14
4.294589178356713433e+02,1.768322585415754463e-14,2.142264000442725440e-14
4.328657314629258508e+02,1.757412204405934935e-14,2.129392439229548614e-14
4.362725450901803583e+02,1.746293684775863347e-14,2.114915766428076980e-14
4.396793587174348659e+02,1.735006723064008374e-14,2.098682802198883257e-14
4.430861723446893734e+02,1.723590356109461396e-14,2.080504045207530377e-14
4.464929859719438809e+02,1.712081593748473469e-14,2.060146611392496301e-14
4.498997995991983885e+02,1.700513872100755474e-14,2.037329490545820678e-14
4.533066132264528960e+02,1.665557260815106673e-14,1.997293161143799228e-14
4.567134268537074036e+02,1.629440187767379624e-14,1.952935643580864212e-14
4.601202404809619111e+02,1.592957350475066471e-14,1.904718665352979756e-14
4.635270541082164186e+02,1.556203503340511814e-14,1.852740442775280316e-14
4.669338677354709262e+02,1.519273911649942204e-14,1.797159894002677767e-14
4.703406813627254337e+02,1.482264106006718689e-14,1.738195675313073367e-14
4.737474949899799412e+02,1.445269404985434810e-14,1.676122732643177790e-14
4.771543086172344488e+02,1.408384221096790955e-14,1.611266488384853377e-14
4.805611222444889563e+02,1.371701186941641695e-14,1.543994958862447235e-14
4.839679358717435207e+02,1.335310155907538846e-14,1.474709247642665251e-14
4.873747494989979714e+02,1.299297143033169700e-14,1.403832966967998313e-14
