wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,4.063878635748514939e-15,7.682933859832665723e-15
3.034068136272545075e+02,3.865095281371374429e-15,7.568120252018618099e-15
3.068136272545090151e+02,3.675115446088752375e-15,7.444909272129412326e-15
3.102204408817635226e+02,3.493906981858462577e-15,7.314166963641937338e-15
3.136272545090180301e+02,3.321375618860704149e-15,7.176737742616412946e-15
3.170340681362725377e+02,3.157374081000029427e-15,7.033437558279375055e-15
3.204408817635270452e+02,3.001710713947598700e-15,6.885048477894150412e-15
3.238476953907815528e+02,2.854157518183902834e-15,6.732314582694673021e-15
3.272545090180360603e+02,2.714457516923627840e-15,6.575939045618159584e-15
3.306613226452905678e+02,2.582331420736140972e-15,6.416582253292795564e-15
3.340681362725450754e+02,2.457483577049358470e-15,6.254860832816380046e-15
3.374749498997995829e+02,2.339607213766570099e-15,6.091347446930077119e-15
3.408817635270540904e+02,2.228389002359417581e-15,5.926571227976746270e-15
3.442885771543085980e+02,2.123512977572874106e-15,5.761018730411341377e-15
3.476953907815631055e+02,2.024663858894658102e-15,5.595135292643238303e-15
3.511022044088176131e+02,1.930607920831887359e-15,5.427799436414598457e-15
3.545090180360721206e+02,1.840272560736776123e-15,5.257474224679575590e-15
3.579158316633266281e+02,1.755388175567906730e-15,5.087591746590762455e-15
3.613226452905811357e+02,1.675638928045215243e-15,4.918486684163538224e-15
3.647294589178357000e+02,1.600720089095591571e-15,4.750461263637051147e-15
3.681362725450901507e+02,1.530338948675763777e-15,4.583787391082010254e-15
3.715430861723447151e+02,1.464215439862306882e-15,4.418708771983261588e-15
3.749498997995991658e+02,1.402082519942195267e-15,4.255442984063955631e-15
3.783567134268537302e+02,1.343686347893881815e-15,4.094183479691248483e-15
3.817635270541081809e+02,1.288786293353401226e-15,3.935101500325559062e-15
3.851703406813627453e+02,1.237154808022630525e-15,3.778347890699021420e-15
3.885771543086171960e+02,1.188577186574693563e-15,3.624054804803347343e-15
3.919839679358717603e+02,1.142851240492517611e-15,3.472337299408807156e-15
3.953907815631262679e+02,1.099786904967586331e-15,3.323294813804048145e-15
3.987975951903807754e+02,1.059205795996651873e-15,3.177012536780357561e-15
4.022044088176352830e+02,1.019476593473018289e-15,3.043017272994189005e-15
4.056112224448897905e+02,9.810788070599700115e-16,2.916643626782071235e-15
4.090180360721442980e+02,9.446794479940936603e-16,2.792694190193021308e-15
4.124248496993988056e+02,9.101629090529098192e-16,2.671212114595568257e-15
4.158316633266533131e+02,8.774199257372171208e-16,2.552232771339172594e-15
4.192384769539078206e+02,8.463473247481194989e-16,2.435784290513161836e-15
4.226452905811623282e+02,8.168477655316047445e-16,2.321888069895754300e-15
4.260521042084168357e+02,7.888294785789991503e-16,2.210559255937289332e-15
4.294589178356713433e+02,7.622060035146780035e-16,2.101807198462121424e-15
4.328657314629258508e+02,7.368959294354558804e-16,1.995635880618710090e-15
4.362725450901803583e+02,7.128226394790772123e-16,1.892044325462067273e-15
4.396793587174348659e+02,6.899140611832224919e-16,1.791026980420281807e-15
4.430861723446893734e+02,6.681024238428479493e-16,1.692574080778517425e-15
4.464929859719438809e+02,6.473240237749570942e-16,1.596671993210768611e-15
