wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,5.831099761620592368e-18,2.092701301046405973e-16
3.034068136272545075e+02,5.446227763013358687e-18,2.029297950140181455e-16
3.068136272545090151e+02,5.091506835422006119e-18,1.966571360698481039e-16
3.102204408817635226e+02,4.764438857241207926e-18,1.904599502824212530e-16
3.136272545090180301e+02,4.462736754868685723e-18,1.843452565916587829e-16
3.170340681362725377e+02,4.184306572057228327e-18,1.783193271368580924e-16
3.204408817635270452e+02,3.927231079472655282e-18,1.723877215334462457e-16
3.238476953907815528e+02,3.689754783013971733e-18,1.665553233145705652e-16
3.272545090180360603e+02,3.470270205326083768e-18,1.608263777896902384e-16
3.306613226452905678e+02,3.267305328433216258e-18,1.552045306660194707e-16
3.340681362725450754e+02,3.079512096955248826e-18,1.496928668693935648e-16
3.374749498997995829e+02,2.905655891302279418e-18,1.442939490873014690e-16
3.408817635270540904e+02,2.744605888850225470e-18,1.390098556371414973e-16
3.442885771543085980e+02,2.595326238620118169e-18,1.338422173365556543e-16
3.476953907815631055e+02,2.456867981605167137e-18,1.287922531194777340e-16
3.511022044088176131e+02,2.327297524700754886e-18,1.238265340058426938e-16
3.545090180360721206e+02,2.204938847197669950e-18,1.189022466644040993e-16
3.579158316633266281e+02,2.091403586994970999e-18,1.140893331322595840e-16
3.613226452905811357e+02,1.985988925123930627e-18,1.093890569098449583e-16
3.647294589178357000e+02,1.888049555870057099e-18,1.048023143509395199e-16
3.681362725450901507e+02,1.796992970895617176e-18,1.003296658839593263e-16
3.715430861723447151e+02,1.712275120456513960e-18,9.597136556303827691e-17
3.749498997995991658e+02,1.633396423572420571e-18,9.172738890067603491e-17
3.783567134268537302e+02,1.559898100863071916e-18,8.759745896567207921e-17
3.817635270541081809e+02,1.491358805505657995e-18,8.358107075641392115e-17
3.851703406813627453e+02,1.427391529407751858e-18,7.967751388099135071e-17
3.885771543086171960e+02,1.367640763240831045e-18,7.588589359260050526e-17
3.919839679358717603e+02,1.311779890444758903e-18,7.220515024176176229e-17
3.953907815631262679e+02,1.259508796699648928e-18,6.863407721660677192e-17
3.987975951903807754e+02,1.210551677672869203e-18,6.517133744926399201e-17
4.022044088176352830e+02,1.163925210113466829e-18,6.221209473270325502e-17
4.056112224448897905e+02,1.119564107849934142e-18,5.954121072214350566e-17
4.090180360721442980e+02,1.077654495938251804e-18,5.693441729480808445e-17
4.124248496993988056e+02,1.038037069916577388e-18,5.439100100087777491e-17
4.158316633266533131e+02,1.000563660425027823e-18,5.191022460955904337e-17
4.192384769539078206e+02,9.650964112280118355e-19,4.949132917134623157e-17
4.226452905811623282e+02,9.315070212305055592e-19,4.713353598229266781e-17
4.260521042084168357e+02,8.996760452361418882e-19,4.483604845073947244e-17
4.294589178356713433e+02,8.694922486524104517e-19,4.259805386773912684e-17
4.328657314629258508e+02,8.408520117600810937e-19,4.041872508315793933e-17
4.362725450901803583e+02,8.136587795401821196e-19,3.829722208997359672e-17
4.396793587174348659e+02,7.878225533926654839e-19,3.623269351978247051e-17
4.430861723446893734e+02,7.632594213911534936e-19,3.422427805286652633e-17
