wavelength_nm,sigma_sca_m2,sigma_abs_m2
3.000000000000000000e+02,2.070571399548107790e-13,1.437892717192222814e-13
3.034068136272545075e+02,2.057165993655550320e-13,1.447683964293126793e-13
3.068136272545090151e+02,2.044375897965393707e-13,1.457265656029263719e-13
3.102204408817635226e+02,2.032167920980698634e-13,1.466722877398173783e-13
3.136272545090180301e+02,2.020496923683505720e-13,1.476112890407860051e-13
3.170340681362725377e+02,2.009312474737225018e-13,1.485462695925510056e-13
3.204408817635270452e+02,1.998564800074561328e-13,1.494770286218542958e-13
3.238476953907815528e+02,1.988209546713540754e-13,1.504008691431366369e-13
3.272545090180360603e+02,1.978211144565952144e-13,1.513131835959186819e-13
3.306613226452905678e+02,1.968544753777720051e-13,1.522081278753179702e-13
3.340681362725450754e+02,1.959196922965969754e-13,1.530793052274060390e-13
3.374749498997995829e+02,1.950165164101431303e-13,1.539203989115932036e-13
3.408817635270540904e+02,1.941456686900066960e-13,1.547257101827479368e-13
3.442885771543085980e+02,1.933086543358611162e-13,1.554905744528444914e-13
3.476953907815631055e+02,1.925075422277421545e-13,1.562116425582053149e-13
3.511022044088176131e+02,1.917170151569397280e-13,1.569061855112088609e-13
3.545090180360721206e+02,1.909124955802660160e-13,1.575932290041077121e-13
3.579158316633266281e+02,1.901560042034486230e-13,1.582330106933475949e-13
3.613226452905811357e+02,1.894496987078759215e-13,1.588277914946276681e-13
3.647294589178357000e+02,1.887952899351189452e-13,1.593807726098506305e-13
3.681362725450901507e+02,1.881939647541977230e-13,1.598958088054221149e-13
3.715430861723447151e+02,1.876463543180894427e-13,1.603771119622977591e-13
3.749498997995991658e+02,1.871525436912600230e-13,1.608289665781251878e-13
3.783567134268537302e+02,1.867121164527141133e-13,1.612554744810203755e-13
3.817635270541081809e+02,1.863242262674843221e-13,1.616603410141085920e-13
3.851703406813627453e+02,1.859876865461923953e-13,1.620467099245619766e-13
3.885771543086171960e+02,1.857010690797164109e-13,1.624170495961644242e-13
